sim_rmse,sim_r,participant,alpha
0.223075482,0.594656902,0xmq6,0.000553982
0.21862468,0.615857431,0xmq6,0.005229351
0.222884447,0.595668824,0xmq6,0.001111644
0.205905011,0.670279666,0xmq6,0.002850464
0.219706778,0.610713139,0xmq6,0.006200632
0.22165103,0.601519592,0xmq6,0.000922415
0.205543887,0.673097184,0xmq6,0.002723324
0.217009032,0.623155353,0xmq6,0.000501798
0.221406204,0.602764144,0xmq6,0.000365741
0.215643939,0.629242609,0xmq6,0.003691738
0.21646721,0.625656616,0xmq6,0.000446959
0.220546447,0.606786338,0xmq6,0.000984497
0.22335686,0.593306124,0xmq6,0.001968598
0.222779012,0.596154945,0xmq6,0.00434145
0.226517799,0.577522637,0xmq6,0.004237329
0.225982575,0.580204633,0xmq6,0.017510656
0.232240479,0.547165322,0xmq6,4.55E-05
0.202907019,0.682055187,0xmq6,0.003547434
0.211933835,0.645409699,0xmq6,0.004403992
0.21824674,0.617477286,0xmq6,0.002880379
0.232146665,0.547883846,0xmq6,6.17E-05
0.225535152,0.582528276,0xmq6,0.000197702
0.212339886,0.643708769,0xmq6,0.001101181
0.217029788,0.623027143,0xmq6,0.000743792
0.203448279,0.679954654,0xmq6,0.002354214
0.212577727,0.642652976,0xmq6,0.018570982
0.201164325,0.689136278,0xmq6,0.003278563
0.216479567,0.625504789,0xmq6,0.001566044
0.211313218,0.648067703,0xmq6,0.000106777
0.206793903,0.666716421,0xmq6,0.001095048
0.220999665,0.604624218,0xmq6,0.002534298
0.223146546,0.594321212,0xmq6,0.000722179
0.209130324,0.657202749,0xmq6,0.004139734
0.22056926,0.606681664,0xmq6,0.00520757
0.208061908,0.661574781,0xmq6,0.000721836
0.215348535,0.63074151,0xmq6,0.001498948
0.221828066,0.600683895,0xmq6,0.000650179
0.223646199,0.591859133,0xmq6,0.000419035
0.212541874,0.642987848,0xmq6,0.003290404
0.232477343,0.545858475,0xmq6,0.001174689
0.272669799,0.185010376,0xmq6,6.72E-05
0.208511102,0.659784416,0xmq6,0.016242007
0.218238103,0.617524819,0xmq6,0.001887769
0.233589571,0.539653209,0xmq6,4.64E-20
0.215415513,0.63027017,0xmq6,5.84E-05
0.224245808,0.588895595,0xmq6,0.002705195
0.209251672,0.656678689,0xmq6,0.002924699
0.219445623,0.614924393,0xmq6,0.002787272
0.219247802,0.612854345,0xmq6,0.000975943
