"success","trial_type","trial_index","time_elapsed","internal_node_id","id","date","time","version","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","slider_start","image_name","view_history","value","thumbnail_name","attention_check","calculated_reaction_time","onset_time","question_order"
"true","fullscreen","0","24808","0.0-0.0","19bq6","20210929","1832","V4-20210927","","","","","","","","","","","","","","","",""
"true","preload","1","27825","0.0-1.0","19bq6","20210929","1832","V4-20210927","false","[]","[]","[]","","","","","","","","","","","",""
"","html-button-response","2","66025","0.0-2.0","19bq6","20210929","1832","V4-20210927","","","","","38198.5","
        <div class=""consentBox"">
        <h1>Consent to Participate in the Aesthetics Study</h1>

        <p>This is a psychology experiment being conducted by Dr. Peter Dayan, 
        director of the Max Planck Institute for Biological Cybernetics, and the 
        members of his lab. In order to consent to participate, you MUST meet the 
        following criteria:</p>

        <p>
        - 18 years of age or older<br>
        - Fluent speaker of English<br>
        - Have not previously participated in this experiment<br></p>

        <p>This study is designed to look at how people learn how to make decisions 
        to accomplish their goals. In this task, you will be asked to make choices, 
        play games, and answer questions related to those games. The study will take 
        about 40 minutes and will pay $12/hour plus a attention-dependent bonus of 
        up to a maximum of $1. The performance bonus is explained in more detail in 
        the instructions that follow.</p> 

        <p>Your participation in this research is voluntary. You may refrain from 
        answering any questions that make you uncomfortable and may withdraw your 
        participation at any time without penalty by exiting this task and alerting 
        the experimenter. You may choose not to complete certain parts of the task 
        or answer certain questions. You may contact us at the address provided 
        below if you have additional questions or concerns.</p> 

        <p>Other than monetary compensation, participating in this study will 
        provide no direct benefits to you. But we hope that this research will 
        benefit society at large by contributing towards establishing a scientific 
        foundation for improving people's learning and cognitive control abilities.</p>

        <p>Your online username may be connected to your individual responses, but 
        we will not be asking for any additional personally identifying information, 
        and we will handle responses as confidentially as possible. We cannot however 
        guarantee the confidentiality of information transmitted over the Internet. 
        We will be keeping de-identified data collected as part of this experiment 
        indefinitely. Data used in scientific publications will remain completely 
        anonymous.</p>

        <p>If you have any questions about the study, feel free to contact our lab. 
        Dr. Dayan and his lab members can be reached at kyblab.tuebingen+aesthetics@gmail.com</p>

        <p>By selecting the 'consent' option below, I acknowledge that I am 18 years or 
        older, that I am a fluent speaker of English, that I have read this consent 
        form, and that I agree to take part in the research.</p>
        </div>
    ","0","","","","","","","","",""
"","html-button-response","3","90698","0.0-3.0","19bq6","20210929","1832","V4-20210927","","","","","24672.39999985695","
        <div class=""introBox"">
        <h1>Overview</h1>

        <p>Thank you for participating in our study.<br> 
        This study consists of four main parts and will take about 45 minutes in
        total to complete.</p>

        <p>In the first part, you will see a series of images. We will ask you
        to tell us your opinion on each of them. <i>(~ 7 min)</i></p>

        <p>In the second part, we will show you the images from the first part again.
        You will be free to view each image for as long as you want before moving
        on to the next. <i>(15 min)</i></p>
        
        <p>The third part will be the same task as the first part. <i>(~ 7 min)</i></p>
        
        <p>At the end of the study, we will also ask you some questions about
        yourself. <i>(~ 10 min)</i></p>

        <p>We will give you detailed instructions before the start of each part of 
        the study.<br> 
        We ask you not to take breaks during each of the study's individual parts. 
        Please feel free to take breaks as needed between the three parts of this 
        study.</p>
        
        <p>Click on the button below to start the experiment.</p>
        </div>","0","","","","","","","","",""
"","html-button-response","4","105362","0.0-4.0","19bq6","20210929","1832","V4-20210927","","","","","14663.799999952316","
        <div class=""introBox"">
        <h1>Rating</h1>

        <p>In the first part of the study, you will rate several different images 
        according to how much you like them. You will use a slider ranging from
        'not at all' to 'very much' to indicate how much you like each image. Please
        try to use the full range of the slider. That is, rate the image you like
        the least 'not at all' and the image you liked the most 'very much'.</p>

        <p>Focus on your own impression. It does not matter how others would judge 
        them. It also does not matter what the image depicts. Simply tell us how 
        much you like the image.<br>
        Again, there are no right or wrong answers. We simply want to know your 
        personal opinion.</p>

        <p>Click on 'Continue' to start the ratings.</p>
        </div>","0","","","","","","","","",""
"","html-slider-response","5","110547","0.0-5.0-0.0","19bq6","20210929","1832","V4-20210927","","","","","5182.700000047684","<img src='images/experiment/pair_37_41_out_tensor(0.3333).png' height = '350'><br>How much do you like this image?","423","373","images/experiment/pair_37_41_out_tensor(0.3333).png","","","","","","",""
"","html-slider-response","6","114658","0.0-5.0-0.1","19bq6","20210929","1832","V4-20210927","","","","","4110.399999856949","<img src='images/experiment/pair_5_92_out_tensor(0.6667).png' height = '350'><br>How much do you like this image?","415","92","images/experiment/pair_5_92_out_tensor(0.6667).png","","","","","","",""
"","html-slider-response","7","118499","0.0-5.0-0.2","19bq6","20210929","1832","V4-20210927","","","","","3838.899999856949","<img src='images/experiment/pair_101_64_out_tensor(0.5000).png' height = '350'><br>How much do you like this image?","435","6","images/experiment/pair_101_64_out_tensor(0.5000).png","","","","","","",""
"","html-slider-response","8","121363","0.0-5.0-0.3","19bq6","20210929","1832","V4-20210927","","","","","2862.9000000953674","<img src='images/experiment/pair_92_57_out_tensor(0.5000).png' height = '350'><br>How much do you like this image?","409","200","images/experiment/pair_92_57_out_tensor(0.5000).png","","","","","","",""
"","html-slider-response","9","124667","0.0-5.0-0.4","19bq6","20210929","1832","V4-20210927","","","","","3303.2000000476837","<img src='images/experiment/pair_37_57_out_tensor(0.3333).png' height = '350'><br>How much do you like this image?","400","488","images/experiment/pair_37_57_out_tensor(0.3333).png","","","","","","",""
"","html-slider-response","10","128531","0.0-5.0-0.5","19bq6","20210929","1832","V4-20210927","","","","","3863.100000143051","<img src='images/experiment/5_start.png' height = '350'><br>How much do you like this image?","494","494","images/experiment/5_start.png","","","","","","",""
"","html-slider-response","11","132732","0.0-5.0-0.6","19bq6","20210929","1832","V4-20210927","","","","","4199.200000047684","<img src='images/experiment/pair_92_57_out_tensor(0.6667).png' height = '350'><br>How much do you like this image?","394","56","images/experiment/pair_92_57_out_tensor(0.6667).png","","","","","","",""
"","html-slider-response","12","135643","0.0-5.0-0.7","19bq6","20210929","1832","V4-20210927","","","","","2910.7999999523163","<img src='images/experiment/pair_92_57_out_tensor(0.3333).png' height = '350'><br>How much do you like this image?","430","290","images/experiment/pair_92_57_out_tensor(0.3333).png","","","","","","",""
"","html-slider-response","13","139460","0.0-5.0-0.8","19bq6","20210929","1832","V4-20210927","","","","","3815.2000000476837","<img src='images/experiment/pair_92_64_out_tensor(0.5000).png' height = '350'><br>How much do you like this image?","322","355","images/experiment/pair_92_64_out_tensor(0.5000).png","","","","","","",""
"","html-slider-response","14","142508","0.0-5.0-0.9","19bq6","20210929","1832","V4-20210927","","","","","3047","<img src='images/experiment/pair_37_64_out_tensor(0.6667).png' height = '350'><br>How much do you like this image?","406","468","images/experiment/pair_37_64_out_tensor(0.6667).png","","","","","","",""
"","html-slider-response","15","146468","0.0-5.0-0.10","19bq6","20210929","1832","V4-20210927","","","","","3959.2999999523163","<img src='images/experiment/pair_37_41_out_tensor(0.6667).png' height = '350'><br>How much do you like this image?","414","264","images/experiment/pair_37_41_out_tensor(0.6667).png","","","","","","",""
"","html-slider-response","16","150340","0.0-5.0-0.11","19bq6","20210929","1832","V4-20210927","","","","","3871.0999999046326","<img src='images/experiment/pair_5_41_out_tensor(0.5000).png' height = '350'><br>How much do you like this image?","469","304","images/experiment/pair_5_41_out_tensor(0.5000).png","","","","","","",""
"","html-slider-response","17","154028","0.0-5.0-0.12","19bq6","20210929","1832","V4-20210927","","","","","3687.100000143051","<img src='images/experiment/pair_64_57_out_tensor(0.5000).png' height = '350'><br>How much do you like this image?","390","145","images/experiment/pair_64_57_out_tensor(0.5000).png","","","","","","",""
"","html-slider-response","18","158181","0.0-5.0-0.13","19bq6","20210929","1832","V4-20210927","","","","","4151.200000047684","<img src='images/experiment/pair_92_64_out_tensor(0.6667).png' height = '350'><br>How much do you like this image?","378","143","images/experiment/pair_92_64_out_tensor(0.6667).png","","","","","","",""
"","html-slider-response","19","161166","0.0-5.0-0.14","19bq6","20210929","1832","V4-20210927","","","","","2983.100000143051","<img src='images/experiment/pair_37_64_out_tensor(0.5000).png' height = '350'><br>How much do you like this image?","433","68","images/experiment/pair_37_64_out_tensor(0.5000).png","","","","","","",""
"","html-slider-response","20","163718","0.0-5.0-0.15","19bq6","20210929","1832","V4-20210927","","","","","2551.2000000476837","<img src='images/experiment/pair_92_64_out_tensor(0.3333).png' height = '350'><br>How much do you like this image?","375","172","images/experiment/pair_92_64_out_tensor(0.3333).png","","","","","","",""
"","html-slider-response","21","166254","0.0-5.0-0.16","19bq6","20210929","1832","V4-20210927","","","","","2535","<img src='images/experiment/pair_5_101_out_tensor(0.3333).png' height = '350'><br>How much do you like this image?","487","149","images/experiment/pair_5_101_out_tensor(0.3333).png","","","","","","",""
"","html-slider-response","22","168894","0.0-5.0-0.17","19bq6","20210929","1832","V4-20210927","","","","","2639.5","<img src='images/experiment/pair_5_92_out_tensor(0.5000).png' height = '350'><br>How much do you like this image?","481","414","images/experiment/pair_5_92_out_tensor(0.5000).png","","","","","","",""
"","html-slider-response","23","172278","0.0-5.0-0.18","19bq6","20210929","1832","V4-20210927","","","","","3383.199999809265","<img src='images/experiment/pair_101_92_out_tensor(0.3333).png' height = '350'><br>How much do you like this image?","500","83","images/experiment/pair_101_92_out_tensor(0.3333).png","","","","","","",""
"","html-slider-response","24","174750","0.0-5.0-0.19","19bq6","20210929","1832","V4-20210927","","","","","2471.300000190735","<img src='images/experiment/pair_101_92_out_tensor(0.6667).png' height = '350'><br>How much do you like this image?","420","61","images/experiment/pair_101_92_out_tensor(0.6667).png","","","","","","",""
"","html-slider-response","25","180007","0.0-5.0-0.20","19bq6","20210929","1832","V4-20210927","","","","","5255.700000047684","<img src='images/experiment/pair_5_92_out_tensor(0.3333).png' height = '350'><br>How much do you like this image?","500","75","images/experiment/pair_5_92_out_tensor(0.3333).png","","","","","","",""
"","html-slider-response","26","184383","0.0-5.0-0.21","19bq6","20210929","1832","V4-20210927","","","","","4374.699999809265","<img src='images/experiment/pair_37_57_out_tensor(0.5000).png' height = '350'><br>How much do you like this image?","358","375","images/experiment/pair_37_57_out_tensor(0.5000).png","","","","","","",""
"","html-slider-response","27","186623","0.0-5.0-0.22","19bq6","20210929","1832","V4-20210927","","","","","2239.2000000476837","<img src='images/experiment/pair_37_101_out_tensor(0.5000).png' height = '350'><br>How much do you like this image?","463","388","images/experiment/pair_37_101_out_tensor(0.5000).png","","","","","","",""
"","html-slider-response","28","188895","0.0-5.0-0.23","19bq6","20210929","1832","V4-20210927","","","","","2271.2999999523163","<img src='images/experiment/pair_101_64_out_tensor(0.3333).png' height = '350'><br>How much do you like this image?","388","222","images/experiment/pair_101_64_out_tensor(0.3333).png","","","","","","",""
"","html-slider-response","29","192063","0.0-5.0-0.24","19bq6","20210929","1832","V4-20210927","","","","","3167.5","<img src='images/experiment/64_start.png' height = '350'><br>How much do you like this image?","313","208","images/experiment/64_start.png","","","","","","",""
"","html-slider-response","30","194231","0.0-5.0-0.25","19bq6","20210929","1832","V4-20210927","","","","","2167","<img src='images/experiment/pair_5_41_out_tensor(0.6667).png' height = '350'><br>How much do you like this image?","405","282","images/experiment/pair_5_41_out_tensor(0.6667).png","","","","","","",""
"","html-slider-response","31","197279","0.0-5.0-0.26","19bq6","20210929","1832","V4-20210927","","","","","3047.4000000953674","<img src='images/experiment/pair_5_64_out_tensor(0.6667).png' height = '350'><br>How much do you like this image?","438","131","images/experiment/pair_5_64_out_tensor(0.6667).png","","","","","","",""
"","html-slider-response","32","199608","0.0-5.0-0.27","19bq6","20210929","1832","V4-20210927","","","","","2327.600000143051","<img src='images/experiment/pair_37_41_out_tensor(0.5000).png' height = '350'><br>How much do you like this image?","370","409","images/experiment/pair_37_41_out_tensor(0.5000).png","","","","","","",""
"","html-slider-response","33","203328","0.0-5.0-0.28","19bq6","20210929","1832","V4-20210927","","","","","3719","<img src='images/experiment/pair_101_92_out_tensor(0.5000).png' height = '350'><br>How much do you like this image?","391","129","images/experiment/pair_101_92_out_tensor(0.5000).png","","","","","","",""
"","html-slider-response","34","205392","0.0-5.0-0.29","19bq6","20210929","1832","V4-20210927","","","","","2063.300000190735","<img src='images/experiment/pair_64_41_out_tensor(0.3333).png' height = '350'><br>How much do you like this image?","348","186","images/experiment/pair_64_41_out_tensor(0.3333).png","","","","","","",""
"","html-slider-response","35","209216","0.0-5.0-0.30","19bq6","20210929","1832","V4-20210927","","","","","3823.399999856949","<img src='images/experiment/101_start.png' height = '350'><br>How much do you like this image?","397","427","images/experiment/101_start.png","","","","","","",""
"","html-slider-response","36","211840","0.0-5.0-0.31","19bq6","20210929","1832","V4-20210927","","","","","2623.2000000476837","<img src='images/experiment/pair_37_101_out_tensor(0.3333).png' height = '350'><br>How much do you like this image?","417","253","images/experiment/pair_37_101_out_tensor(0.3333).png","","","","","","",""
"","html-slider-response","37","214392","0.0-5.0-0.32","19bq6","20210929","1832","V4-20210927","","","","","2551.0999999046326","<img src='images/experiment/pair_101_57_out_tensor(0.5000).png' height = '350'><br>How much do you like this image?","369","154","images/experiment/pair_101_57_out_tensor(0.5000).png","","","","","","",""
"","html-slider-response","38","217113","0.0-5.0-0.33","19bq6","20210929","1832","V4-20210927","","","","","2719.2999999523163","<img src='images/experiment/pair_64_41_out_tensor(0.6667).png' height = '350'><br>How much do you like this image?","357","465","images/experiment/pair_64_41_out_tensor(0.6667).png","","","","","","",""
"","html-slider-response","39","219848","0.0-5.0-0.34","19bq6","20210929","1832","V4-20210927","","","","","2735.2999999523163","<img src='images/experiment/37_start.png' height = '350'><br>How much do you like this image?","500","274","images/experiment/37_start.png","","","","","","",""
"","html-slider-response","40","222584","0.0-5.0-0.35","19bq6","20210929","1832","V4-20210927","","","","","2735","<img src='images/experiment/57_start.png' height = '350'><br>How much do you like this image?","342","73","images/experiment/57_start.png","","","","","","",""
"","html-slider-response","41","225504","0.0-5.0-0.36","19bq6","20210929","1832","V4-20210927","","","","","2919.5999999046326","<img src='images/experiment/pair_101_64_out_tensor(0.6667).png' height = '350'><br>How much do you like this image?","358","497","images/experiment/pair_101_64_out_tensor(0.6667).png","","","","","","",""
"","html-slider-response","42","228112","0.0-5.0-0.37","19bq6","20210929","1832","V4-20210927","","","","","2607.199999809265","<img src='images/experiment/pair_37_57_out_tensor(0.6667).png' height = '350'><br>How much do you like this image?","369","330","images/experiment/pair_37_57_out_tensor(0.6667).png","","","","","","",""
"","html-slider-response","43","230312","0.0-5.0-0.38","19bq6","20210929","1832","V4-20210927","","","","","2199.2999999523163","<img src='images/experiment/pair_101_57_out_tensor(0.3333).png' height = '350'><br>How much do you like this image?","360","379","images/experiment/pair_101_57_out_tensor(0.3333).png","","","","","","",""
"","html-slider-response","44","233305","0.0-5.0-0.39","19bq6","20210929","1832","V4-20210927","","","","","2991.5","<img src='images/experiment/pair_5_101_out_tensor(0.6667).png' height = '350'><br>How much do you like this image?","465","341","images/experiment/pair_5_101_out_tensor(0.6667).png","","","","","","",""
"","html-slider-response","45","237657","0.0-5.0-0.40","19bq6","20210929","1832","V4-20210927","","","","","4351.700000047684","<img src='images/experiment/pair_64_57_out_tensor(0.6667).png' height = '350'><br>How much do you like this image?","384","300","images/experiment/pair_64_57_out_tensor(0.6667).png","","","","","","",""
"","html-slider-response","46","241073","0.0-5.0-0.41","19bq6","20210929","1832","V4-20210927","","","","","3414.7999999523163","<img src='images/experiment/92_start.png' height = '350'><br>How much do you like this image?","396","24","images/experiment/92_start.png","","","","","","",""
"","html-slider-response","47","243897","0.0-5.0-0.42","19bq6","20210929","1832","V4-20210927","","","","","2823.399999856949","<img src='images/experiment/pair_64_41_out_tensor(0.5000).png' height = '350'><br>How much do you like this image?","366","221","images/experiment/pair_64_41_out_tensor(0.5000).png","","","","","","",""
"","html-slider-response","48","247817","0.0-5.0-0.43","19bq6","20210929","1832","V4-20210927","","","","","3919.0999999046326","<img src='images/experiment/pair_64_57_out_tensor(0.3333).png' height = '350'><br>How much do you like this image?","321","217","images/experiment/pair_64_57_out_tensor(0.3333).png","","","","","","",""
"","html-slider-response","49","252682","0.0-5.0-0.44","19bq6","20210929","1832","V4-20210927","","","","","4863.400000095367","<img src='images/experiment/pair_37_92_out_tensor(0.5000).png' height = '350'><br>How much do you like this image?","462","482","images/experiment/pair_37_92_out_tensor(0.5000).png","","","","","","",""
"","html-slider-response","50","254890","0.0-5.0-0.45","19bq6","20210929","1832","V4-20210927","","","","","2207","<img src='images/experiment/pair_5_64_out_tensor(0.3333).png' height = '350'><br>How much do you like this image?","500","279","images/experiment/pair_5_64_out_tensor(0.3333).png","","","","","","",""
