"success","trial_type","trial_index","time_elapsed","internal_node_id","id","date","time","version","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","slider_start","image_name","view_history","value","thumbnail_name","attention_check","calculated_reaction_time","onset_time","question_order"
"true","fullscreen","0","6533","0.0-0.0","xwnhg","20210930","1410","V4-20210927","","","","","","","","","","","","","","","",""
"true","preload","1","9772","0.0-1.0","xwnhg","20210930","1410","V4-20210927","false","[]","[]","[]","","","","","","","","","","","",""
"","html-button-response","2","12876","0.0-2.0","xwnhg","20210930","1410","V4-20210927","","","","","3102.9000000953674","
        <div class=""consentBox"">
        <h1>Consent to Participate in the Aesthetics Study</h1>

        <p>This is a psychology experiment being conducted by Dr. Peter Dayan, 
        director of the Max Planck Institute for Biological Cybernetics, and the 
        members of his lab. In order to consent to participate, you MUST meet the 
        following criteria:</p>

        <p>
        - 18 years of age or older<br>
        - Fluent speaker of English<br>
        - Have not previously participated in this experiment<br></p>

        <p>This study is designed to look at how people learn how to make decisions 
        to accomplish their goals. In this task, you will be asked to make choices, 
        play games, and answer questions related to those games. The study will take 
        about 40 minutes and will pay $12/hour plus a attention-dependent bonus of 
        up to a maximum of $1. The performance bonus is explained in more detail in 
        the instructions that follow.</p> 

        <p>Your participation in this research is voluntary. You may refrain from 
        answering any questions that make you uncomfortable and may withdraw your 
        participation at any time without penalty by exiting this task and alerting 
        the experimenter. You may choose not to complete certain parts of the task 
        or answer certain questions. You may contact us at the address provided 
        below if you have additional questions or concerns.</p> 

        <p>Other than monetary compensation, participating in this study will 
        provide no direct benefits to you. But we hope that this research will 
        benefit society at large by contributing towards establishing a scientific 
        foundation for improving people's learning and cognitive control abilities.</p>

        <p>Your online username may be connected to your individual responses, but 
        we will not be asking for any additional personally identifying information, 
        and we will handle responses as confidentially as possible. We cannot however 
        guarantee the confidentiality of information transmitted over the Internet. 
        We will be keeping de-identified data collected as part of this experiment 
        indefinitely. Data used in scientific publications will remain completely 
        anonymous.</p>

        <p>If you have any questions about the study, feel free to contact our lab. 
        Dr. Dayan and his lab members can be reached at kyblab.tuebingen+aesthetics@gmail.com</p>

        <p>By selecting the 'consent' option below, I acknowledge that I am 18 years or 
        older, that I am a fluent speaker of English, that I have read this consent 
        form, and that I agree to take part in the research.</p>
        </div>
    ","0","","","","","","","","",""
"","html-button-response","3","19942","0.0-3.0","xwnhg","20210930","1410","V4-20210927","","","","","7065.299999952316","
        <div class=""introBox"">
        <h1>Overview</h1>

        <p>Thank you for participating in our study.<br> 
        This study consists of four main parts and will take about 45 minutes in
        total to complete.</p>

        <p>In the first part, you will see a series of images. We will ask you
        to tell us your opinion on each of them. <i>(~ 7 min)</i></p>

        <p>In the second part, we will show you the images from the first part again.
        You will be free to view each image for as long as you want before moving
        on to the next. <i>(15 min)</i></p>
        
        <p>The third part will be the same task as the first part. <i>(~ 7 min)</i></p>
        
        <p>At the end of the study, we will also ask you some questions about
        yourself. <i>(~ 10 min)</i></p>

        <p>We will give you detailed instructions before the start of each part of 
        the study.<br> 
        We ask you not to take breaks during each of the study's individual parts. 
        Please feel free to take breaks as needed between the three parts of this 
        study.</p>
        
        <p>Click on the button below to start the experiment.</p>
        </div>","0","","","","","","","","",""
"","html-button-response","4","33250","0.0-4.0","xwnhg","20210930","1410","V4-20210927","","","","","13306.400000095367","
        <div class=""introBox"">
        <h1>Rating</h1>

        <p>In the first part of the study, you will rate several different images 
        according to how much you like them. You will use a slider ranging from
        'not at all' to 'very much' to indicate how much you like each image. Please
        try to use the full range of the slider. That is, rate the image you like
        the least 'not at all' and the image you liked the most 'very much'.</p>

        <p>Focus on your own impression. It does not matter how others would judge 
        them. It also does not matter what the image depicts. Simply tell us how 
        much you like the image.<br>
        Again, there are no right or wrong answers. We simply want to know your 
        personal opinion.</p>

        <p>Click on 'Continue' to start the ratings.</p>
        </div>","0","","","","","","","","",""
"","html-slider-response","5","36164","0.0-5.0-0.0","xwnhg","20210930","1410","V4-20210927","","","","","2910.5999999046326","<img src='images/experiment/pair_5_101_out_tensor(0.5000).png' height = '350'><br>How much do you like this image?","271","422","images/experiment/pair_5_101_out_tensor(0.5000).png","","","","","","",""
"","html-slider-response","6","38853","0.0-5.0-0.1","xwnhg","20210930","1410","V4-20210927","","","","","2687.5","<img src='images/experiment/pair_101_92_out_tensor(0.6667).png' height = '350'><br>How much do you like this image?","276","237","images/experiment/pair_101_92_out_tensor(0.6667).png","","","","","","",""
"","html-slider-response","7","40773","0.0-5.0-0.2","xwnhg","20210930","1410","V4-20210927","","","","","1918.0999999046326","<img src='images/experiment/pair_37_64_out_tensor(0.3333).png' height = '350'><br>How much do you like this image?","282","57","images/experiment/pair_37_64_out_tensor(0.3333).png","","","","","","",""
"","html-slider-response","8","42440","0.0-5.0-0.3","xwnhg","20210930","1410","V4-20210927","","","","","1665.5999999046326","<img src='images/experiment/pair_5_41_out_tensor(0.6667).png' height = '350'><br>How much do you like this image?","288","345","images/experiment/pair_5_41_out_tensor(0.6667).png","","","","","","",""
"","html-slider-response","9","44229","0.0-5.0-0.4","xwnhg","20210930","1410","V4-20210927","","","","","1786.7999999523163","<img src='images/experiment/pair_92_57_out_tensor(0.3333).png' height = '350'><br>How much do you like this image?","300","53","images/experiment/pair_92_57_out_tensor(0.3333).png","","","","","","",""
"","html-slider-response","10","46365","0.0-5.0-0.5","xwnhg","20210930","1410","V4-20210927","","","","","2134","<img src='images/experiment/pair_5_41_out_tensor(0.5000).png' height = '350'><br>How much do you like this image?","271","421","images/experiment/pair_5_41_out_tensor(0.5000).png","","","","","","",""
"","html-slider-response","11","49077","0.0-5.0-0.6","xwnhg","20210930","1410","V4-20210927","","","","","2710.7000000476837","<img src='images/experiment/64_start.png' height = '350'><br>How much do you like this image?","274","233","images/experiment/64_start.png","","","","","","",""
"","html-slider-response","12","50576","0.0-5.0-0.7","xwnhg","20210930","1410","V4-20210927","","","","","1497.0999999046326","<img src='images/experiment/pair_101_64_out_tensor(0.3333).png' height = '350'><br>How much do you like this image?","375","142","images/experiment/pair_101_64_out_tensor(0.3333).png","","","","","","",""
"","html-slider-response","13","52388","0.0-5.0-0.8","xwnhg","20210930","1410","V4-20210927","","","","","1811","<img src='images/experiment/pair_5_101_out_tensor(0.6667).png' height = '350'><br>How much do you like this image?","262","370","images/experiment/pair_5_101_out_tensor(0.6667).png","","","","","","",""
"","html-slider-response","14","54848","0.0-5.0-0.9","xwnhg","20210930","1410","V4-20210927","","","","","2458.0999999046326","<img src='images/experiment/pair_64_41_out_tensor(0.3333).png' height = '350'><br>How much do you like this image?","295","411","images/experiment/pair_64_41_out_tensor(0.3333).png","","","","","","",""
"","html-slider-response","15","56745","0.0-5.0-0.10","xwnhg","20210930","1410","V4-20210927","","","","","1895.7999999523163","<img src='images/experiment/pair_92_57_out_tensor(0.6667).png' height = '350'><br>How much do you like this image?","252","78","images/experiment/pair_92_57_out_tensor(0.6667).png","","","","","","",""
"","html-slider-response","16","58460","0.0-5.0-0.11","xwnhg","20210930","1410","V4-20210927","","","","","1712.7000000476837","<img src='images/experiment/pair_101_57_out_tensor(0.6667).png' height = '350'><br>How much do you like this image?","250","76","images/experiment/pair_101_57_out_tensor(0.6667).png","","","","","","",""
"","html-slider-response","17","60128","0.0-5.0-0.12","xwnhg","20210930","1410","V4-20210927","","","","","1666.4000000953674","<img src='images/experiment/pair_37_92_out_tensor(0.5000).png' height = '350'><br>How much do you like this image?","367","133","images/experiment/pair_37_92_out_tensor(0.5000).png","","","","","","",""
"","html-slider-response","18","61940","0.0-5.0-0.13","xwnhg","20210930","1410","V4-20210927","","","","","1810.5","<img src='images/experiment/pair_37_101_out_tensor(0.6667).png' height = '350'><br>How much do you like this image?","459","424","images/experiment/pair_37_101_out_tensor(0.6667).png","","","","","","",""
"","html-slider-response","19","63704","0.0-5.0-0.14","xwnhg","20210930","1410","V4-20210927","","","","","1762.5999999046326","<img src='images/experiment/pair_37_57_out_tensor(0.6667).png' height = '350'><br>How much do you like this image?","229","105","images/experiment/pair_37_57_out_tensor(0.6667).png","","","","","","",""
"","html-slider-response","20","65600","0.0-5.0-0.15","xwnhg","20210930","1410","V4-20210927","","","","","1893.8999998569489","<img src='images/experiment/57_start.png' height = '350'><br>How much do you like this image?","164","46","images/experiment/57_start.png","","","","","","",""
"","html-slider-response","21","67207","0.0-5.0-0.16","xwnhg","20210930","1410","V4-20210927","","","","","1605.9000000953674","<img src='images/experiment/pair_101_92_out_tensor(0.5000).png' height = '350'><br>How much do you like this image?","286","75","images/experiment/pair_101_92_out_tensor(0.5000).png","","","","","","",""
"","html-slider-response","22","69715","0.0-5.0-0.17","xwnhg","20210930","1410","V4-20210927","","","","","2506.4000000953674","<img src='images/experiment/pair_5_64_out_tensor(0.5000).png' height = '350'><br>How much do you like this image?","330","292","images/experiment/pair_5_64_out_tensor(0.5000).png","","","","","","",""
"","html-slider-response","23","71731","0.0-5.0-0.18","xwnhg","20210930","1410","V4-20210927","","","","","2013.4000000953674","<img src='images/experiment/pair_64_57_out_tensor(0.6667).png' height = '350'><br>How much do you like this image?","322","362","images/experiment/pair_64_57_out_tensor(0.6667).png","","","","","","",""
"","html-slider-response","24","74539","0.0-5.0-0.19","xwnhg","20210930","1410","V4-20210927","","","","","2806.7000000476837","<img src='images/experiment/pair_5_92_out_tensor(0.3333).png' height = '350'><br>How much do you like this image?","256","5","images/experiment/pair_5_92_out_tensor(0.3333).png","","","","","","",""
"","html-slider-response","25","76339","0.0-5.0-0.20","xwnhg","20210930","1410","V4-20210927","","","","","1798.4000000953674","<img src='images/experiment/pair_37_92_out_tensor(0.6667).png' height = '350'><br>How much do you like this image?","300","440","images/experiment/pair_37_92_out_tensor(0.6667).png","","","","","","",""
"","html-slider-response","26","78307","0.0-5.0-0.21","xwnhg","20210930","1410","V4-20210927","","","","","1966.2000000476837","<img src='images/experiment/pair_92_57_out_tensor(0.5000).png' height = '350'><br>How much do you like this image?","271","379","images/experiment/pair_92_57_out_tensor(0.5000).png","","","","","","",""
"","html-slider-response","27","79783","0.0-5.0-0.22","xwnhg","20210930","1410","V4-20210927","","","","","1475.2999999523163","<img src='images/experiment/pair_101_64_out_tensor(0.5000).png' height = '350'><br>How much do you like this image?","385","85","images/experiment/pair_101_64_out_tensor(0.5000).png","","","","","","",""
"","html-slider-response","28","81307","0.0-5.0-0.23","xwnhg","20210930","1410","V4-20210927","","","","","1522.2999999523163","<img src='images/experiment/pair_37_41_out_tensor(0.5000).png' height = '350'><br>How much do you like this image?","271","103","images/experiment/pair_37_41_out_tensor(0.5000).png","","","","","","",""
"","html-slider-response","29","82686","0.0-5.0-0.24","xwnhg","20210930","1410","V4-20210927","","","","","1377.6000001430511","<img src='images/experiment/pair_37_57_out_tensor(0.5000).png' height = '350'><br>How much do you like this image?","271","12","images/experiment/pair_37_57_out_tensor(0.5000).png","","","","","","",""
"","html-slider-response","30","84090","0.0-5.0-0.25","xwnhg","20210930","1410","V4-20210927","","","","","1402.2999999523163","<img src='images/experiment/pair_101_64_out_tensor(0.6667).png' height = '350'><br>How much do you like this image?","265","32","images/experiment/pair_101_64_out_tensor(0.6667).png","","","","","","",""
"","html-slider-response","31","86515","0.0-5.0-0.26","xwnhg","20210930","1410","V4-20210927","","","","","2423.2999999523163","<img src='images/experiment/pair_5_101_out_tensor(0.3333).png' height = '350'><br>How much do you like this image?","235","430","images/experiment/pair_5_101_out_tensor(0.3333).png","","","","","","",""
"","html-slider-response","32","88410","0.0-5.0-0.27","xwnhg","20210930","1410","V4-20210927","","","","","1893.7999999523163","<img src='images/experiment/pair_64_41_out_tensor(0.5000).png' height = '350'><br>How much do you like this image?","324","384","images/experiment/pair_64_41_out_tensor(0.5000).png","","","","","","",""
"","html-slider-response","33","93150","0.0-5.0-0.28","xwnhg","20210930","1410","V4-20210927","","","","","4738.5","<img src='images/experiment/pair_92_64_out_tensor(0.6667).png' height = '350'><br>How much do you like this image?","279","402","images/experiment/pair_92_64_out_tensor(0.6667).png","","","","","","",""
"","html-slider-response","34","94771","0.0-5.0-0.29","xwnhg","20210930","1410","V4-20210927","","","","","1618.3000001907349","<img src='images/experiment/pair_92_64_out_tensor(0.3333).png' height = '350'><br>How much do you like this image?","324","114","images/experiment/pair_92_64_out_tensor(0.3333).png","","","","","","",""
