"success","trial_type","trial_index","time_elapsed","internal_node_id","id","date","time","version","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","slider_start","image_name","view_history","value","thumbnail_name","attention_check","calculated_reaction_time","onset_time","question_order"
"true","fullscreen","0","3596","0.0-0.0","nlz7e","20210930","1411","V4-20210927","","","","","","","","","","","","","","","",""
"true","preload","1","26733","0.0-1.0","nlz7e","20210930","1411","V4-20210927","false","[]","[]","[]","","","","","","","","","","","",""
"","html-button-response","2","45446","0.0-2.0","nlz7e","20210930","1411","V4-20210927","","","","","18709","
        <div class=""consentBox"">
        <h1>Consent to Participate in the Aesthetics Study</h1>

        <p>This is a psychology experiment being conducted by Dr. Peter Dayan, 
        director of the Max Planck Institute for Biological Cybernetics, and the 
        members of his lab. In order to consent to participate, you MUST meet the 
        following criteria:</p>

        <p>
        - 18 years of age or older<br>
        - Fluent speaker of English<br>
        - Have not previously participated in this experiment<br></p>

        <p>This study is designed to look at how people learn how to make decisions 
        to accomplish their goals. In this task, you will be asked to make choices, 
        play games, and answer questions related to those games. The study will take 
        about 40 minutes and will pay $12/hour plus a attention-dependent bonus of 
        up to a maximum of $1. The performance bonus is explained in more detail in 
        the instructions that follow.</p> 

        <p>Your participation in this research is voluntary. You may refrain from 
        answering any questions that make you uncomfortable and may withdraw your 
        participation at any time without penalty by exiting this task and alerting 
        the experimenter. You may choose not to complete certain parts of the task 
        or answer certain questions. You may contact us at the address provided 
        below if you have additional questions or concerns.</p> 

        <p>Other than monetary compensation, participating in this study will 
        provide no direct benefits to you. But we hope that this research will 
        benefit society at large by contributing towards establishing a scientific 
        foundation for improving people's learning and cognitive control abilities.</p>

        <p>Your online username may be connected to your individual responses, but 
        we will not be asking for any additional personally identifying information, 
        and we will handle responses as confidentially as possible. We cannot however 
        guarantee the confidentiality of information transmitted over the Internet. 
        We will be keeping de-identified data collected as part of this experiment 
        indefinitely. Data used in scientific publications will remain completely 
        anonymous.</p>

        <p>If you have any questions about the study, feel free to contact our lab. 
        Dr. Dayan and his lab members can be reached at kyblab.tuebingen+aesthetics@gmail.com</p>

        <p>By selecting the 'consent' option below, I acknowledge that I am 18 years or 
        older, that I am a fluent speaker of English, that I have read this consent 
        form, and that I agree to take part in the research.</p>
        </div>
    ","0","","","","","","","","",""
"","html-button-response","3","71533","0.0-3.0","nlz7e","20210930","1411","V4-20210927","","","","","26084.40000000596","
        <div class=""introBox"">
        <h1>Overview</h1>

        <p>Thank you for participating in our study.<br> 
        This study consists of four main parts and will take about 45 minutes in
        total to complete.</p>

        <p>In the first part, you will see a series of images. We will ask you
        to tell us your opinion on each of them. <i>(~ 7 min)</i></p>

        <p>In the second part, we will show you the images from the first part again.
        You will be free to view each image for as long as you want before moving
        on to the next. <i>(15 min)</i></p>
        
        <p>The third part will be the same task as the first part. <i>(~ 7 min)</i></p>
        
        <p>At the end of the study, we will also ask you some questions about
        yourself. <i>(~ 10 min)</i></p>

        <p>We will give you detailed instructions before the start of each part of 
        the study.<br> 
        We ask you not to take breaks during each of the study's individual parts. 
        Please feel free to take breaks as needed between the three parts of this 
        study.</p>
        
        <p>Click on the button below to start the experiment.</p>
        </div>","0","","","","","","","","",""
"","html-button-response","4","87006","0.0-4.0","nlz7e","20210930","1411","V4-20210927","","","","","15472","
        <div class=""introBox"">
        <h1>Rating</h1>

        <p>In the first part of the study, you will rate several different images 
        according to how much you like them. You will use a slider ranging from
        'not at all' to 'very much' to indicate how much you like each image. Please
        try to use the full range of the slider. That is, rate the image you like
        the least 'not at all' and the image you liked the most 'very much'.</p>

        <p>Focus on your own impression. It does not matter how others would judge 
        them. It also does not matter what the image depicts. Simply tell us how 
        much you like the image.<br>
        Again, there are no right or wrong answers. We simply want to know your 
        personal opinion.</p>

        <p>Click on 'Continue' to start the ratings.</p>
        </div>","0","","","","","","","","",""
"","html-slider-response","5","90448","0.0-5.0-0.0","nlz7e","20210930","1411","V4-20210927","","","","","3437.4000000059605","<img src='images/experiment/pair_64_41_out_tensor(0.6667).png' height = '350'><br>How much do you like this image?","181","241","images/experiment/pair_64_41_out_tensor(0.6667).png","","","","","","",""
"","html-slider-response","6","94357","0.0-5.0-0.1","nlz7e","20210930","1411","V4-20210927","","","","","3906.5","<img src='images/experiment/pair_92_57_out_tensor(0.3333).png' height = '350'><br>How much do you like this image?","300","282","images/experiment/pair_92_57_out_tensor(0.3333).png","","","","","","",""
"","html-slider-response","7","98050","0.0-5.0-0.2","nlz7e","20210930","1411","V4-20210927","","","","","3690.9000000059605","<img src='images/experiment/pair_37_64_out_tensor(0.5000).png' height = '350'><br>How much do you like this image?","301","313","images/experiment/pair_37_64_out_tensor(0.5000).png","","","","","","",""
"","html-slider-response","8","102773","0.0-5.0-0.3","nlz7e","20210930","1411","V4-20210927","","","","","4719.200000017881","<img src='images/experiment/pair_37_101_out_tensor(0.6667).png' height = '350'><br>How much do you like this image?","127","469","images/experiment/pair_37_101_out_tensor(0.6667).png","","","","","","",""
"","html-slider-response","9","105649","0.0-5.0-0.4","nlz7e","20210930","1411","V4-20210927","","","","","2871.300000011921","<img src='images/experiment/pair_37_101_out_tensor(0.3333).png' height = '350'><br>How much do you like this image?","363","258","images/experiment/pair_37_101_out_tensor(0.3333).png","","","","","","",""
"","html-slider-response","10","110724","0.0-5.0-0.5","nlz7e","20210930","1411","V4-20210927","","","","","5073","<img src='images/experiment/pair_64_41_out_tensor(0.3333).png' height = '350'><br>How much do you like this image?","175","429","images/experiment/pair_64_41_out_tensor(0.3333).png","","","","","","",""
"","html-slider-response","11","114715","0.0-5.0-0.6","nlz7e","20210930","1411","V4-20210927","","","","","3987.4000000059605","<img src='images/experiment/pair_5_41_out_tensor(0.3333).png' height = '350'><br>How much do you like this image?","312","384","images/experiment/pair_5_41_out_tensor(0.3333).png","","","","","","",""
"","html-slider-response","12","118112","0.0-5.0-0.7","nlz7e","20210930","1411","V4-20210927","","","","","3395.0999999940395","<img src='images/experiment/pair_101_92_out_tensor(0.5000).png' height = '350'><br>How much do you like this image?","336","148","images/experiment/pair_101_92_out_tensor(0.5000).png","","","","","","",""
"","html-slider-response","13","121552","0.0-5.0-0.8","nlz7e","20210930","1411","V4-20210927","","","","","3437.199999988079","<img src='images/experiment/pair_101_64_out_tensor(0.6667).png' height = '350'><br>How much do you like this image?","212","304","images/experiment/pair_101_64_out_tensor(0.6667).png","","","","","","",""
"","html-slider-response","14","125224","0.0-5.0-0.9","nlz7e","20210930","1411","V4-20210927","","","","","3669.5999999940395","<img src='images/experiment/pair_101_64_out_tensor(0.3333).png' height = '350'><br>How much do you like this image?","289","443","images/experiment/pair_101_64_out_tensor(0.3333).png","","","","","","",""
"","html-slider-response","15","129236","0.0-5.0-0.10","nlz7e","20210930","1411","V4-20210927","","","","","4009.0999999940395","<img src='images/experiment/pair_101_92_out_tensor(0.3333).png' height = '350'><br>How much do you like this image?","331","407","images/experiment/pair_101_92_out_tensor(0.3333).png","","","","","","",""
"","html-slider-response","16","132668","0.0-5.0-0.11","nlz7e","20210930","1411","V4-20210927","","","","","3429.2999999821186","<img src='images/experiment/pair_37_92_out_tensor(0.3333).png' height = '350'><br>How much do you like this image?","456","392","images/experiment/pair_37_92_out_tensor(0.3333).png","","","","","","",""
"","html-slider-response","17","135216","0.0-5.0-0.12","nlz7e","20210930","1411","V4-20210927","","","","","2545.5","<img src='images/experiment/pair_5_64_out_tensor(0.6667).png' height = '350'><br>How much do you like this image?","294","369","images/experiment/pair_5_64_out_tensor(0.6667).png","","","","","","",""
"","html-slider-response","18","138676","0.0-5.0-0.13","nlz7e","20210930","1411","V4-20210927","","","","","3457.4000000059605","<img src='images/experiment/pair_5_101_out_tensor(0.3333).png' height = '350'><br>How much do you like this image?","387","404","images/experiment/pair_5_101_out_tensor(0.3333).png","","","","","","",""
"","html-slider-response","19","141672","0.0-5.0-0.14","nlz7e","20210930","1411","V4-20210927","","","","","2993.5","<img src='images/experiment/pair_101_64_out_tensor(0.5000).png' height = '350'><br>How much do you like this image?","321","213","images/experiment/pair_101_64_out_tensor(0.5000).png","","","","","","",""
"","html-slider-response","20","144930","0.0-5.0-0.15","nlz7e","20210930","1411","V4-20210927","","","","","3255.2999999821186","<img src='images/experiment/41_start.png' height = '350'><br>How much do you like this image?","40","104","images/experiment/41_start.png","","","","","","",""
"","html-slider-response","21","147757","0.0-5.0-0.16","nlz7e","20210930","1411","V4-20210927","","","","","2825.7000000178814","<img src='images/experiment/pair_101_57_out_tensor(0.6667).png' height = '350'><br>How much do you like this image?","500","276","images/experiment/pair_101_57_out_tensor(0.6667).png","","","","","","",""
"","html-slider-response","22","150463","0.0-5.0-0.17","nlz7e","20210930","1411","V4-20210927","","","","","2703.300000011921","<img src='images/experiment/92_start.png' height = '350'><br>How much do you like this image?","500","493","images/experiment/92_start.png","","","","","","",""
"","html-slider-response","23","153333","0.0-5.0-0.18","nlz7e","20210930","1411","V4-20210927","","","","","2868.300000011921","<img src='images/experiment/pair_92_57_out_tensor(0.5000).png' height = '350'><br>How much do you like this image?","345","146","images/experiment/pair_92_57_out_tensor(0.5000).png","","","","","","",""
"","html-slider-response","24","155449","0.0-5.0-0.19","nlz7e","20210930","1411","V4-20210927","","","","","2113","<img src='images/experiment/pair_5_92_out_tensor(0.5000).png' height = '350'><br>How much do you like this image?","405","229","images/experiment/pair_5_92_out_tensor(0.5000).png","","","","","","",""
"","html-slider-response","25","159703","0.0-5.0-0.20","nlz7e","20210930","1411","V4-20210927","","","","","4252","<img src='images/experiment/101_start.png' height = '350'><br>How much do you like this image?","64","492","images/experiment/101_start.png","","","","","","",""
"","html-slider-response","26","162427","0.0-5.0-0.21","nlz7e","20210930","1411","V4-20210927","","","","","2721.100000023842","<img src='images/experiment/pair_37_64_out_tensor(0.3333).png' height = '350'><br>How much do you like this image?","208","183","images/experiment/pair_37_64_out_tensor(0.3333).png","","","","","","",""
"","html-slider-response","27","164386","0.0-5.0-0.22","nlz7e","20210930","1411","V4-20210927","","","","","1956.199999988079","<img src='images/experiment/pair_5_101_out_tensor(0.5000).png' height = '350'><br>How much do you like this image?","396","230","images/experiment/pair_5_101_out_tensor(0.5000).png","","","","","","",""
"","html-slider-response","28","166792","0.0-5.0-0.23","nlz7e","20210930","1411","V4-20210927","","","","","2403.9000000059605","<img src='images/experiment/pair_92_57_out_tensor(0.6667).png' height = '350'><br>How much do you like this image?","382","189","images/experiment/pair_92_57_out_tensor(0.6667).png","","","","","","",""
"","html-slider-response","29","170312","0.0-5.0-0.24","nlz7e","20210930","1411","V4-20210927","","","","","3517.7000000178814","<img src='images/experiment/pair_37_57_out_tensor(0.5000).png' height = '350'><br>How much do you like this image?","336","60","images/experiment/pair_37_57_out_tensor(0.5000).png","","","","","","",""
"","html-slider-response","30","172636","0.0-5.0-0.25","nlz7e","20210930","1411","V4-20210927","","","","","2321.300000011921","<img src='images/experiment/pair_92_64_out_tensor(0.6667).png' height = '350'><br>How much do you like this image?","152","65","images/experiment/pair_92_64_out_tensor(0.6667).png","","","","","","",""
"","html-slider-response","31","175292","0.0-5.0-0.26","nlz7e","20210930","1411","V4-20210927","","","","","2654","<img src='images/experiment/pair_64_57_out_tensor(0.6667).png' height = '350'><br>How much do you like this image?","357","494","images/experiment/pair_64_57_out_tensor(0.6667).png","","","","","","",""
"","html-slider-response","32","178408","0.0-5.0-0.27","nlz7e","20210930","1411","V4-20210927","","","","","3113.2999999821186","<img src='images/experiment/pair_37_41_out_tensor(0.3333).png' height = '350'><br>How much do you like this image?","322","99","images/experiment/pair_37_41_out_tensor(0.3333).png","","","","","","",""
"","html-slider-response","33","181482","0.0-5.0-0.28","nlz7e","20210930","1411","V4-20210927","","","","","3071.699999988079","<img src='images/experiment/pair_37_41_out_tensor(0.6667).png' height = '350'><br>How much do you like this image?","0","105","images/experiment/pair_37_41_out_tensor(0.6667).png","","","","","","",""
"","html-slider-response","34","185288","0.0-5.0-0.29","nlz7e","20210930","1411","V4-20210927","","","","","3803.4000000059605","<img src='images/experiment/pair_101_57_out_tensor(0.5000).png' height = '350'><br>How much do you like this image?","300","428","images/experiment/pair_101_57_out_tensor(0.5000).png","","","","","","",""
"","html-slider-response","35","189964","0.0-5.0-0.30","nlz7e","20210930","1411","V4-20210927","","","","","4673.299999982119","<img src='images/experiment/64_start.png' height = '350'><br>How much do you like this image?","303","173","images/experiment/64_start.png","","","","","","",""
"","html-slider-response","36","192510","0.0-5.0-0.31","nlz7e","20210930","1411","V4-20210927","","","","","2543.199999988079","<img src='images/experiment/pair_5_92_out_tensor(0.3333).png' height = '350'><br>How much do you like this image?","381","435","images/experiment/pair_5_92_out_tensor(0.3333).png","","","","","","",""
"","html-slider-response","37","194877","0.0-5.0-0.32","nlz7e","20210930","1411","V4-20210927","","","","","2365.7000000178814","<img src='images/experiment/pair_101_57_out_tensor(0.3333).png' height = '350'><br>How much do you like this image?","184","291","images/experiment/pair_101_57_out_tensor(0.3333).png","","","","","","",""
"","html-slider-response","38","197693","0.0-5.0-0.33","nlz7e","20210930","1411","V4-20210927","","","","","2813.800000011921","<img src='images/experiment/37_start.png' height = '350'><br>How much do you like this image?","0","401","images/experiment/37_start.png","","","","","","",""
"","html-slider-response","39","200147","0.0-5.0-0.34","nlz7e","20210930","1411","V4-20210927","","","","","2451.5","<img src='images/experiment/pair_5_41_out_tensor(0.5000).png' height = '350'><br>How much do you like this image?","349","309","images/experiment/pair_5_41_out_tensor(0.5000).png","","","","","","",""
"","html-slider-response","40","202705","0.0-5.0-0.35","nlz7e","20210930","1411","V4-20210927","","","","","2556.0999999940395","<img src='images/experiment/5_start.png' height = '350'><br>How much do you like this image?","142","27","images/experiment/5_start.png","","","","","","",""
"","html-slider-response","41","207305","0.0-5.0-0.36","nlz7e","20210930","1411","V4-20210927","","","","","4597.5999999940395","<img src='images/experiment/pair_37_41_out_tensor(0.5000).png' height = '350'><br>How much do you like this image?","145","418","images/experiment/pair_37_41_out_tensor(0.5000).png","","","","","","",""
"","html-slider-response","42","209487","0.0-5.0-0.37","nlz7e","20210930","1411","V4-20210927","","","","","2179.0999999940395","<img src='images/experiment/pair_5_92_out_tensor(0.6667).png' height = '350'><br>How much do you like this image?","324","218","images/experiment/pair_5_92_out_tensor(0.6667).png","","","","","","",""
"","html-slider-response","43","213517","0.0-5.0-0.38","nlz7e","20210930","1411","V4-20210927","","","","","4027.9000000059605","<img src='images/experiment/pair_37_57_out_tensor(0.3333).png' height = '350'><br>How much do you like this image?","178","84","images/experiment/pair_37_57_out_tensor(0.3333).png","","","","","","",""
"","html-slider-response","44","216873","0.0-5.0-0.39","nlz7e","20210930","1411","V4-20210927","","","","","3352.5","<img src='images/experiment/pair_5_101_out_tensor(0.6667).png' height = '350'><br>How much do you like this image?","146","7","images/experiment/pair_5_101_out_tensor(0.6667).png","","","","","","",""
"","html-slider-response","45","220905","0.0-5.0-0.40","nlz7e","20210930","1411","V4-20210927","","","","","4029.7999999821186","<img src='images/experiment/pair_92_64_out_tensor(0.3333).png' height = '350'><br>How much do you like this image?","145","2","images/experiment/pair_92_64_out_tensor(0.3333).png","","","","","","",""
"","html-slider-response","46","223484","0.0-5.0-0.41","nlz7e","20210930","1411","V4-20210927","","","","","2577.0999999940395","<img src='images/experiment/pair_5_64_out_tensor(0.3333).png' height = '350'><br>How much do you like this image?","328","147","images/experiment/pair_5_64_out_tensor(0.3333).png","","","","","","",""
"","html-slider-response","47","227715","0.0-5.0-0.42","nlz7e","20210930","1411","V4-20210927","","","","","4227.300000011921","<img src='images/experiment/pair_101_92_out_tensor(0.6667).png' height = '350'><br>How much do you like this image?","154","4","images/experiment/pair_101_92_out_tensor(0.6667).png","","","","","","",""
"","html-slider-response","48","249825","0.0-5.0-0.43","nlz7e","20210930","1411","V4-20210927","","","","","22106.59999999404","<img src='images/experiment/pair_64_57_out_tensor(0.5000).png' height = '350'><br>How much do you like this image?","140","52","images/experiment/pair_64_57_out_tensor(0.5000).png","","","","","","",""
