"success","trial_type","trial_index","time_elapsed","internal_node_id","id","date","time","version","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","slider_start","image_name","view_history","value","thumbnail_name","attention_check","calculated_reaction_time","onset_time","question_order"
"true","fullscreen","0","11822","0.0-0.0","v46g1","20210930","1525","V4-20210927","","","","","","","","","","","","","","","",""
"true","preload","1","20428","0.0-1.0","v46g1","20210930","1525","V4-20210927","false","[]","[]","[]","","","","","","","","","","","",""
"","html-button-response","2","29670","0.0-2.0","v46g1","20210930","1525","V4-20210927","","","","","9240.599999999627","
        <div class=""consentBox"">
        <h1>Consent to Participate in the Aesthetics Study</h1>

        <p>This is a psychology experiment being conducted by Dr. Peter Dayan, 
        director of the Max Planck Institute for Biological Cybernetics, and the 
        members of his lab. In order to consent to participate, you MUST meet the 
        following criteria:</p>

        <p>
        - 18 years of age or older<br>
        - Fluent speaker of English<br>
        - Have not previously participated in this experiment<br></p>

        <p>This study is designed to look at how people learn how to make decisions 
        to accomplish their goals. In this task, you will be asked to make choices, 
        play games, and answer questions related to those games. The study will take 
        about 40 minutes and will pay $12/hour plus a attention-dependent bonus of 
        up to a maximum of $1. The performance bonus is explained in more detail in 
        the instructions that follow.</p> 

        <p>Your participation in this research is voluntary. You may refrain from 
        answering any questions that make you uncomfortable and may withdraw your 
        participation at any time without penalty by exiting this task and alerting 
        the experimenter. You may choose not to complete certain parts of the task 
        or answer certain questions. You may contact us at the address provided 
        below if you have additional questions or concerns.</p> 

        <p>Other than monetary compensation, participating in this study will 
        provide no direct benefits to you. But we hope that this research will 
        benefit society at large by contributing towards establishing a scientific 
        foundation for improving people's learning and cognitive control abilities.</p>

        <p>Your online username may be connected to your individual responses, but 
        we will not be asking for any additional personally identifying information, 
        and we will handle responses as confidentially as possible. We cannot however 
        guarantee the confidentiality of information transmitted over the Internet. 
        We will be keeping de-identified data collected as part of this experiment 
        indefinitely. Data used in scientific publications will remain completely 
        anonymous.</p>

        <p>If you have any questions about the study, feel free to contact our lab. 
        Dr. Dayan and his lab members can be reached at kyblab.tuebingen+aesthetics@gmail.com</p>

        <p>By selecting the 'consent' option below, I acknowledge that I am 18 years or 
        older, that I am a fluent speaker of English, that I have read this consent 
        form, and that I agree to take part in the research.</p>
        </div>
    ","0","","","","","","","","",""
"","html-button-response","3","34837","0.0-3.0","v46g1","20210930","1525","V4-20210927","","","","","5165.799999998882","
        <div class=""introBox"">
        <h1>Overview</h1>

        <p>Thank you for participating in our study.<br> 
        This study consists of four main parts and will take about 45 minutes in
        total to complete.</p>

        <p>In the first part, you will see a series of images. We will ask you
        to tell us your opinion on each of them. <i>(~ 7 min)</i></p>

        <p>In the second part, we will show you the images from the first part again.
        You will be free to view each image for as long as you want before moving
        on to the next. <i>(15 min)</i></p>
        
        <p>The third part will be the same task as the first part. <i>(~ 7 min)</i></p>
        
        <p>At the end of the study, we will also ask you some questions about
        yourself. <i>(~ 10 min)</i></p>

        <p>We will give you detailed instructions before the start of each part of 
        the study.<br> 
        We ask you not to take breaks during each of the study's individual parts. 
        Please feel free to take breaks as needed between the three parts of this 
        study.</p>
        
        <p>Click on the button below to start the experiment.</p>
        </div>","0","","","","","","","","",""
"","html-button-response","4","39915","0.0-4.0","v46g1","20210930","1525","V4-20210927","","","","","5076.700000001118","
        <div class=""introBox"">
        <h1>Rating</h1>

        <p>In the first part of the study, you will rate several different images 
        according to how much you like them. You will use a slider ranging from
        'not at all' to 'very much' to indicate how much you like each image. Please
        try to use the full range of the slider. That is, rate the image you like
        the least 'not at all' and the image you liked the most 'very much'.</p>

        <p>Focus on your own impression. It does not matter how others would judge 
        them. It also does not matter what the image depicts. Simply tell us how 
        much you like the image.<br>
        Again, there are no right or wrong answers. We simply want to know your 
        personal opinion.</p>

        <p>Click on 'Continue' to start the ratings.</p>
        </div>","0","","","","","","","","",""
"","html-slider-response","5","44049","0.0-5.0-0.0","v46g1","20210930","1525","V4-20210927","","","","","4131.299999998882","<img src='images/experiment/pair_5_41_out_tensor(0.5000).png' height = '350'><br>How much do you like this image?","448","299","images/experiment/pair_5_41_out_tensor(0.5000).png","","","","","","",""
"","html-slider-response","6","47822","0.0-5.0-0.1","v46g1","20210930","1525","V4-20210927","","","","","3770.5999999996275","<img src='images/experiment/pair_37_41_out_tensor(0.5000).png' height = '350'><br>How much do you like this image?","418","58","images/experiment/pair_37_41_out_tensor(0.5000).png","","","","","","",""
"","html-slider-response","7","52402","0.0-5.0-0.2","v46g1","20210930","1525","V4-20210927","","","","","4578.5","<img src='images/experiment/pair_92_64_out_tensor(0.5000).png' height = '350'><br>How much do you like this image?","309","221","images/experiment/pair_92_64_out_tensor(0.5000).png","","","","","","",""
"","html-slider-response","8","57488","0.0-5.0-0.3","v46g1","20210930","1525","V4-20210927","","","","","5083.4000000003725","<img src='images/experiment/pair_64_57_out_tensor(0.3333).png' height = '350'><br>How much do you like this image?","267","71","images/experiment/pair_64_57_out_tensor(0.3333).png","","","","","","",""
"","html-slider-response","9","61073","0.0-5.0-0.4","v46g1","20210930","1525","V4-20210927","","","","","3583.9000000003725","<img src='images/experiment/92_start.png' height = '350'><br>How much do you like this image?","382","304","images/experiment/92_start.png","","","","","","",""
"","html-slider-response","10","64758","0.0-5.0-0.5","v46g1","20210930","1525","V4-20210927","","","","","3682.7000000011176","<img src='images/experiment/pair_5_64_out_tensor(0.6667).png' height = '350'><br>How much do you like this image?","372","330","images/experiment/pair_5_64_out_tensor(0.6667).png","","","","","","",""
"","html-slider-response","11","67812","0.0-5.0-0.6","v46g1","20210930","1525","V4-20210927","","","","","3053.10000000149","<img src='images/experiment/pair_101_57_out_tensor(0.3333).png' height = '350'><br>How much do you like this image?","463","278","images/experiment/pair_101_57_out_tensor(0.3333).png","","","","","","",""
"","html-slider-response","12","72361","0.0-5.0-0.7","v46g1","20210930","1525","V4-20210927","","","","","4547.300000000745","<img src='images/experiment/pair_5_101_out_tensor(0.6667).png' height = '350'><br>How much do you like this image?","319","77","images/experiment/pair_5_101_out_tensor(0.6667).png","","","","","","",""
"","html-slider-response","13","77510","0.0-5.0-0.8","v46g1","20210930","1525","V4-20210927","","","","","5147","<img src='images/experiment/pair_5_64_out_tensor(0.5000).png' height = '350'><br>How much do you like this image?","151","49","images/experiment/pair_5_64_out_tensor(0.5000).png","","","","","","",""
"","html-slider-response","14","82637","0.0-5.0-0.9","v46g1","20210930","1525","V4-20210927","","","","","5125.0999999996275","<img src='images/experiment/pair_92_64_out_tensor(0.3333).png' height = '350'><br>How much do you like this image?","390","322","images/experiment/pair_92_64_out_tensor(0.3333).png","","","","","","",""
"","html-slider-response","15","90780","0.0-5.0-0.10","v46g1","20210930","1525","V4-20210927","","","","","8140.5999999996275","<img src='images/experiment/pair_37_64_out_tensor(0.3333).png' height = '350'><br>How much do you like this image?","205","471","images/experiment/pair_37_64_out_tensor(0.3333).png","","","","","","",""
"","html-slider-response","16","93953","0.0-5.0-0.11","v46g1","20210930","1525","V4-20210927","","","","","3171.5","<img src='images/experiment/pair_37_92_out_tensor(0.5000).png' height = '350'><br>How much do you like this image?","399","305","images/experiment/pair_37_92_out_tensor(0.5000).png","","","","","","",""
"","html-slider-response","17","97294","0.0-5.0-0.12","v46g1","20210930","1525","V4-20210927","","","","","3338.5","<img src='images/experiment/pair_101_92_out_tensor(0.5000).png' height = '350'><br>How much do you like this image?","381","368","images/experiment/pair_101_92_out_tensor(0.5000).png","","","","","","",""
"","html-slider-response","18","103345","0.0-5.0-0.13","v46g1","20210930","1525","V4-20210927","","","","","6049.39999999851","<img src='images/experiment/pair_64_41_out_tensor(0.5000).png' height = '350'><br>How much do you like this image?","486","484","images/experiment/pair_64_41_out_tensor(0.5000).png","","","","","","",""
