image,imageInd
5,0
37,1
41,2
57,3
64,4
92,5
101,6
101_57_0.33,46
101_57_0.5,47
101_57_0.67,48
101_64_0.33,49
101_64_0.5,50
101_64_0.67,51
101_92_0.33,52
101_92_0.5,53
101_92_0.67,54
37_101_0.33,31
37_101_0.5,32
37_101_0.67,33
37_41_0.33,19
37_41_0.5,20
37_41_0.67,21
37_57_0.33,22
37_57_0.5,23
37_57_0.67,24
37_64_0.33,25
37_64_0.5,26
37_64_0.67,27
37_92_0.33,28
37_92_0.5,29
37_92_0.67,30
5_101_0.33,16
5_101_0.5,17
5_101_0.67,18
5_41_0.33,7
5_41_0.5,8
5_41_0.67,9
5_64_0.33,10
5_64_0.5,11
5_64_0.67,12
5_92_0.33,13
5_92_0.5,14
5_92_0.67,15
64_41_0.33,34
64_41_0.5,35
64_41_0.67,36
64_57_0.33,37
64_57_0.5,38
64_57_0.67,39
92_57_0.33,40
92_57_0.5,41
92_57_0.67,42
92_64_0.33,43
92_64_0.5,44
92_64_0.67,45
