subj,wantPrevImg,strategy,switchReason,boredom,dogLiking,dogPast,dogPresent,imgBrowseDur,imgBrowseLike,age,education,gender,nationality,rating_entropy,roundedRating_entropy,ratingCorrWithAvg,corrRatingSliderPos
dm3a7,no,,50,neither agree nor disagree,like,yes,no,less than 5 min,neither like nor dislike,39,bachelorMaster,male,US,4.034751942141851,1.7827996396355523,-0.10446518192633142,0.10419264513124485
s4tsr,no,,79,disagree,strongly like,yes,yes,5 - 15 min,like,57,highSchool,female,American,4.125267688205986,1.3129616596375562,0.09985101571050438,0.10788028031356806
n0htt,yes,No I just slide over to like on the dogs I liked.,86,neither agree nor disagree,strongly like,yes,yes,15 - 30 min,like,53,college,male,American,4.055829778937461,1.5425367646830097,-0.5600096737370174,-0.16693250304770987
zouzq,no,,23,disagree,strongly like,yes,yes,less than 5 min,neither like nor dislike,50,bachelorMaster,male,American,4.412040163043865,2.2465184771463624,0.21096687328682118,-0.04837817028106211
nqfzn,no,,16,disagree,strongly like,yes,yes,less than 5 min,neither like nor dislike,44,bachelorMaster,female,American,4.424013552971846,2.2147174739521107,0.372909626259258,-0.07067534442650547
2yzc5,no,I sometimes lingered longer on the dogs I liked best. I prefer long-haired dogs because then they look like stuffed/plush animals. :) I almost always have long-haired dogs. ,21,disagree,like,yes,no,15 - 30 min,like,53,bachelorMaster,female,American,4.459361793688307,1.9028882065651083,-0.12911138148276913,-0.055767166316592405
5kslr,yes,I looked at nose sizes,5,disagree,strongly like,yes,no,1h - 2h,like,25,college,male,american,4.421553765657766,2.181004173394252,0.2878436308896753,0.06492637669851307
u1m46,no,The vast majority I found nearly revolting so I quickly skipped most and settled on ones that were okay for a long while.,0,agree,like,yes,no,5 - 15 min,neither like nor dislike,33,highSchool,male,USA,3.9665619888443073,1.503114200004549,0.6833354601922539,-0.010592941795083884
ocgpo,no,,52,disagree,strongly like,yes,yes,30 - 60 min,strongly like,37,bachelorMaster,female,USA,4.292437932159677,1.8291144317073258,0.35574415051512975,0.19854046049683283
oveao,no,"No, I just looked at the image then clicked to the next. Sometimes I looked a little longer if it was a cuter dog.",30,neither agree nor disagree,strongly like,no,no,30 - 60 min,like,39,highSchool,female,Caucasian American,4.484567145708668,2.040051371324068,0.7036942286803108,0.11724697575947178
mh0hn,yes,No strategy just tried to picture a clear pic,97,agree,strongly like,yes,yes,less than 5 min,neither like nor dislike,39,highSchool,female,American,3.985379679929599,1.5849272465522453,-0.24704123454745136,0.15169140963524413
pr576,yes,No,90,strongly disagree,strongly like,yes,yes,30 - 60 min,strongly like,39,bachelorMaster,female,Italian,4.383745737627222,2.0322353357967695,0.6864822518305513,0.09265373885227361
mbx6w,yes,,48,disagree,strongly like,yes,no,15 - 30 min,like,49,college,female,American,4.110614380627997,2.362545251650461,0.7555677964800415,0.005674232703162812
46vpz,no,,100,strongly disagree,strongly like,yes,yes,1h - 2h,strongly like,28,bachelorMaster,male,USA,3.416653405141966,0.9281711274963423,-0.03577173934137841,-0.005441249477488095
9cvgu,no,None,92,strongly disagree,strongly like,yes,yes,30 - 60 min,strongly like,30,bachelorMaster,male,American,4.144048511008727,1.5485665950505707,0.13178142428185463,0.033313709164276686
sdx2b,yes,"No, not in particular. I simply viewed the images in a normal fashion.",13,disagree,like,yes,no,30 - 60 min,like,39,highSchool,male,American,4.303372880259188,1.8051213184147386,0.6297438887598246,-0.14018754993973395
jmzs9,yes,I just rated by likes. One with the short ears is my Fav.,100,strongly disagree,strongly like,yes,yes,5 - 15 min,like,55,highSchool,male,USA,2.6883861071147295,1.259308301855353,0.5466431712846118,0.09006025557280135
ft5fd,yes,I focused on the dogs I thought were cutest,100,agree,strongly like,yes,yes,30 - 60 min,strongly like,31,bachelorMaster,female,Caucasian/Hispanic ,4.19779467087079,1.3553283547945436,0.5094584982693712,0.03644579882845971
