,subj,rating,zScored_ratings,rt,raw_image_name,sliderStart,trial,block,image,pair,sourceImageA,sourceImageB,morphPercent,imageInd
4744,0le1c,0.382,1.0325459857275692,26.659000000059606,images/experiment/pair_101_57_out_tensor(0.6667).png,46.0,5,1,101_57_0.67,101_57_,101,57,0.67,48
10344,0le1c,0.32,0.7563255565025742,66.575,images/experiment/101_start.png,394.0,6,1,101,101,101,,,6
5144,0le1c,0.146,-0.018873712612734315,23.0129999999702,images/experiment/pair_64_57_out_tensor(0.6667).png,96.0,7,1,64_57_0.67,64_57_,64,57,0.67,39
9144,0le1c,0.194,0.19497436162597145,31.9710000000149,images/experiment/pair_5_92_out_tensor(0.5000).png,124.0,8,1,5_92_0.5,5_92_,5,92,0.5,14
1144,0le1c,0.058,-0.4109285153836949,28.4520000000298,images/experiment/pair_5_101_out_tensor(0.3333).png,47.0,9,1,5_101_0.33,5_101_,5,101,0.33,16
6144,0le1c,0.146,-0.018873712612734315,23.793000000044703,images/experiment/pair_37_92_out_tensor(0.5000).png,495.0,10,1,37_92_0.5,37_92_,37,92,0.5,29
1944,0le1c,0.088,-0.2772734689845038,30.1689999999851,images/experiment/pair_101_92_out_tensor(0.6667).png,9.0,11,1,101_92_0.67,101_92_,101,92,0.67,54
544,0le1c,0.028,-0.544583561782886,26.455,images/experiment/pair_37_57_out_tensor(0.3333).png,28.0,12,1,37_57_0.33,37_57_,37,57,0.33,22
3544,0le1c,0.68,2.360186113292867,37.7139999999851,images/experiment/pair_5_41_out_tensor(0.3333).png,243.0,13,1,5_41_0.33,5_41_,5,41,0.33,7
9344,0le1c,0.086,-0.28618380541111654,33.832999999970205,images/experiment/pair_37_64_out_tensor(0.6667).png,496.0,14,1,37_64_0.67,37_64_,37,64,0.67,27
8344,0le1c,0.088,-0.2772734689845038,25.8110000000149,images/experiment/57_start.png,350.0,15,1,57,57,57,,,3
5944,0le1c,0.106,-0.19708044114498913,26.595,images/experiment/pair_64_57_out_tensor(0.5000).png,296.0,16,1,64_57_0.5,64_57_,64,57,0.5,38
4344,0le1c,0.11,-0.17925976829176365,45.9519999999553,images/experiment/pair_92_64_out_tensor(0.3333).png,276.0,17,1,92_64_0.33,92_64_,92,64,0.33,43
