subj,wantPrevImg,strategy,switchReason,boredom,dogLiking,dogPast,dogPresent,imgBrowseDur,imgBrowseLike,age,education,gender,nationality,rating_entropy,roundedRating_entropy,ratingCorrWithAvg,corrRatingSliderPos,med_rmse_fitmodel_2vggfeat,sd_rmsemodel_2vggfeat,min_rmsemodel_2vggfeat,max_rmsemodel_2vggfeat,med_rmse_fitmodel_2vggfeatalphazero_wVzero,sd_rmsemodel_2vggfeatalphazero_wVzero,min_rmsemodel_2vggfeatalphazero_wVzero,max_rmsemodel_2vggfeatalphazero_wVzero,med_rmse_fitmodel_3vggfeat,sd_rmsemodel_3vggfeat,min_rmsemodel_3vggfeat,max_rmsemodel_3vggfeat,med_rmse_fitmodel_3vggfeatalphazero_wVzero,sd_rmsemodel_3vggfeatalphazero_wVzero,min_rmsemodel_3vggfeatalphazero_wVzero,max_rmsemodel_3vggfeatalphazero_wVzero,med_rmse_LOOavg,r_LOOavg
s4tsr,no,,79,disagree,strongly like,yes,yes,5 - 15 min,like,57,highSchool,female,American,4.125267688205986,1.3129616596375562,0.0998510157105043,0.107880280313568,0.0789179789816447,0.0408994913912054,0.0292772453311876,0.1575450889327783,0.082457958930499,0.0387053640785957,0.019927746508772,0.1499731135264405,0.0673639778063906,0.0537799404320299,0.0285288167880947,0.2201695854710671,0.0736909104168791,0.0450957400122598,0.0196789790027836,0.17695467173039,0.1730703397612489,-0.10641209878854188
n0htt,yes,No I just slide over to like on the dogs I liked.,86,neither agree nor disagree,strongly like,yes,yes,15 - 30 min,like,53,college,male,American,4.055829778937461,1.5425367646830097,-0.5600096737370174,-0.1669325030477098,0.1396995710214656,0.0804089973167321,0.0265273691545984,0.2791800349725721,0.180349098779065,0.1008961599448003,0.0276899846887454,0.3220247283358441,0.1084807580160165,0.0639776017059095,0.0216882110641984,0.2216534327247337,0.1229254870121276,0.0713827898503183,0.0214329395562085,0.252237105476375,0.21415684113865932,0.1309403961654477
zouzq,no,,23,disagree,strongly like,yes,yes,less than 5 min,neither like nor dislike,50,bachelorMaster,male,American,4.412040163043865,2.2465184771463624,0.2109668732868211,-0.0483781702810621,0.2197397370930069,0.0722435636982276,0.0403511589148119,0.332197648862585,0.2199627036286994,0.0859614575257602,0.0393709911790924,0.3612710109657742,0.1396096515712925,0.0713853736767121,0.0623589828823207,0.31162066422309,0.1774155986607151,0.1309288270927326,0.0259493744632249,0.6706213632224597,0.19902516069788803,-0.05881914844420859
nqfzn,no,,16,disagree,strongly like,yes,yes,less than 5 min,neither like nor dislike,44,bachelorMaster,female,American,4.424013552971846,2.2147174739521107,0.372909626259258,-0.0706753444265054,0.189933946875149,0.0942969781504897,0.0372139146865766,0.4221331708895774,0.2146776909479473,0.0910940676361241,0.0365026565521595,0.3856343751314096,0.165926955393441,0.3798968441713464,0.0877576985814101,1.750040531095462,0.1790389658638234,0.1133000794711274,0.0362656735719048,0.5073959389834373,0.2183801652892562,-0.043328806424832694
oveao,no,"No, I just looked at the image then clicked to the next. Sometimes I looked a little longer if it was a cuter dog.",30,neither agree nor disagree,strongly like,no,no,30 - 60 min,like,39,highSchool,female,Caucasian American,4.484567145708668,2.040051371324068,0.7036942286803108,0.1172469757594717,0.1783226700603781,0.0623761342245044,0.06382470163745,0.2903716724841613,0.2016789864762064,0.0553474438855341,0.1243421727507438,0.304855263335732,0.1765677313448987,0.0755041692212646,0.10924510884976,0.3910743326717679,0.1768383958125507,0.0739273812405462,0.1072692705654142,0.3835166388386493,0.2275651056014692,0.2386443072723403
mh0hn,yes,No strategy just tried to picture a clear pic,97,agree,strongly like,yes,yes,less than 5 min,neither like nor dislike,39,highSchool,female,American,3.985379679929599,1.5849272465522453,-0.2470412345474513,0.1516914096352441,0.1615449999025719,0.0722472340805576,0.0804135536128527,0.3810005656860552,0.1842789118079772,0.0906368107828737,0.0526757959761006,0.4212750735141262,0.1299672339248742,0.069703728686429,0.0636754444581431,0.3516834854950618,0.1431573824284489,0.0871080962049544,0.0850061545825269,0.4573840867627505,0.1509671258034894,0.0405079873775747
mbx6w,yes,,48,disagree,strongly like,yes,no,15 - 30 min,like,49,college,female,American,4.110614380627997,2.362545251650461,0.7555677964800415,0.0056742327031628,0.2291919952442197,0.0816235851757511,0.1044782848180233,0.3638268305224906,0.297419716530488,0.0972927855065463,0.117266297174652,0.4413079741785538,0.1814479334800658,0.0791934065925353,0.0524703461536657,0.3160041796691671,0.2023501873943502,0.1460801080630655,0.0684393687514895,0.7141461823774715,0.2730358126721763,-0.08494289593029418
46vpz,no,,100,strongly disagree,strongly like,yes,yes,1h - 2h,strongly like,28,bachelorMaster,male,USA,3.416653405141966,0.9281711274963425,-0.0357717393413784,-0.005441249477488,0.0565220508747168,0.0196320717683523,0.0314578292034202,0.1031607195570227,0.0568698377254591,0.0188568483282464,0.0316420048918304,0.1007376418311413,0.0524231900935079,0.0291592229801164,0.0312485150263979,0.1533830104871937,0.0549017814707408,0.033102418670927,0.0329123330817025,0.163060908248419,0.3683122130394857,0.16062246144158493
sdx2b,yes,"No, not in particular. I simply viewed the images in a normal fashion.",13,disagree,like,yes,no,30 - 60 min,like,39,highSchool,male,American,4.303372880259188,1.8051213184147383,0.6297438887598246,-0.1401875499397339,0.1102742545708026,0.0359397677302617,0.0601956056697603,0.1842875549984667,0.1280716916281931,0.0386587128587008,0.0455156516908057,0.1794557889297512,0.0917706687246644,0.033290897652214,0.0510936953039872,0.156544858998216,0.1076972464289988,0.0562135224306376,0.0275183004277149,0.2938273441101292,0.26425344352617086,-0.2229328202523327
jmzs9,yes,I just rated by likes. One with the short ears is my Fav.,100,strongly disagree,strongly like,yes,yes,5 - 15 min,like,55,highSchool,male,USA,2.688386107114729,1.259308301855353,0.5466431712846118,0.0900602555728013,0.2672305416934017,0.0940294946563256,0.1015505192272349,0.4154628396188586,0.3957007490431246,0.0524271413658786,0.3460778510174525,0.533254464109194,0.2426932031891785,0.1224228671520393,0.0509321689655233,0.4584666413823494,0.2490691517142247,0.1206598384531579,0.0813266965738432,0.4636193160531003,0.40257924701561065,0.007200646684284467
