,res,rmse_fit,rmse_pred,participant,testPair
0,"     fun: 0.22247000134603104
     jac: array([ 5.68427248e+00,  1.95857137e-05, -8.39903951e-05, -2.77105719e-05,
       -9.36463475e-04,  2.07893737e-03, -6.40264321e-02,  9.73865390e-05,
       -2.11466104e-05,  0.00000000e+00])
 message: 'Optimization terminated successfully'
    nfev: 1296
     nit: 113
    njev: 112
  status: 0
 success: True
       x: array([ 4.18949884e-05,  4.94353870e+00,  5.52602919e-01,  2.80745462e-01,
       -1.48653218e-01,  7.11271882e-02,  1.74830687e-03,  3.51647963e+00,
       -1.36362090e+00,  5.39472894e-01])",0.22247000134603104,0.3443684797219592,0xmq6,101_57_
1,"     fun: 0.25396937327538777
     jac: array([ 2.70727798e-02,  3.23541462e-05,  7.60782510e-04,  1.30168349e-03,
       -3.42726707e-04, -4.22373414e-05, -2.11077183e-03, -6.10873103e-05,
        9.84296203e-05,  0.00000000e+00])
 message: 'Optimization terminated successfully'
    nfev: 1185
     nit: 106
    njev: 105
  status: 0
 success: True
       x: array([ 3.52166561e-03,  2.18179005e+00,  2.85534294e-01,  2.36479628e-01,
       -4.49321151e-01, -2.56062646e-01,  9.71042847e-02,  5.42971989e+00,
       -2.21170374e+00,  3.83469230e-01])",0.25396937327538777,0.11015772345493739,0xmq6,64_57_
2,"     fun: 0.21549663609244543
     jac: array([-1.57683460e+01, -1.63391232e-04,  4.73773107e-04,  1.60686672e-04,
        5.93036413e-04, -5.97387552e-03,  5.33424966e-01, -2.07364559e-04,
        1.72579661e-04,  0.00000000e+00])
 message: 'Optimization terminated successfully'
    nfev: 1263
     nit: 111
    njev: 110
  status: 0
 success: True
       x: array([ 3.25909388e-05,  4.53731122e+00,  5.76364580e-01,  2.87688647e-01,
       -1.51578950e-01,  7.02829083e-02,  1.44429039e-03,  3.92758723e+00,
       -1.45367398e+00,  5.32574364e-01])",0.21549663609244543,0.42335485037384274,0xmq6,5_92_
3,"     fun: 0.2467851471953679
     jac: array([ 3.03756818e-03, -2.25324184e-05,  6.39685430e-03, -1.12610869e-03,
        5.15691936e-05, -5.87124377e-05,  1.48536637e-04, -5.76768070e-05,
       -5.39049506e-05,  0.00000000e+00])
 message: 'Optimization terminated successfully'
    nfev: 695
     nit: 62
    njev: 62
  status: 0
 success: True
       x: array([ 3.56625744e-03,  4.04244389e+00,  0.00000000e+00,  4.68992256e-01,
       -3.42830447e-01,  1.91868585e-01,  6.15511937e-01,  1.00000000e+01,
       -6.01667906e+00,  4.40780379e-01])",0.2467851471953679,0.3074557170710304,0xmq6,5_101_
4,"     fun: 0.22977159238943928
     jac: array([-2.90661896e-01, -1.13423914e-04, -2.79899687e-05, -1.26796588e-03,
        7.90070742e-04, -3.37172300e-04,  5.86288013e-02, -1.63819641e-04,
       -5.26942313e-05, -9.13999975e-06])
 message: 'Optimization terminated successfully'
    nfev: 990
     nit: 86
    njev: 85
  status: 0
 success: True
       x: array([ 2.18896563e-04,  1.32665632e+00,  5.31607734e-01,  3.06912913e-01,
       -1.90288640e-01,  6.75225425e-02,  1.32063008e-03,  1.66018847e+00,
       -7.05650476e-01,  5.38173585e-01])",0.22977159238943928,0.28600267976590216,0xmq6,37_92_
5,"     fun: 0.25225768034795587
     jac: array([-3.72153744e-02, -4.15999442e-04,  6.65919110e-03,  5.43914735e-04,
       -2.10940838e-04,  6.30319118e-05,  2.87038088e-03, -9.71071422e-05,
        7.55824149e-05,  0.00000000e+00])
 message: 'Optimization terminated successfully'
    nfev: 650
     nit: 58
    njev: 57
  status: 0
 success: True
       x: array([ 3.68801436e-03,  3.07168528e+00,  5.15717777e-18,  4.85380592e-01,
       -2.93230777e-01,  2.16851628e-01,  4.45182816e-01,  1.00000000e+01,
       -6.66670520e+00,  4.40891764e-01])",0.25225768034795587,0.19776255103976753,0xmq6,101_92_
6,"     fun: 0.25489141576004654
     jac: array([-2.59752572e-02, -2.43406743e-04,  9.12259519e-03,  1.18291751e-03,
        1.89989805e-06, -6.66305423e-05,  1.90997496e-03,  2.33314931e-05,
        1.65306032e-04,  1.81049109e-06])
 message: 'Optimization terminated successfully'
    nfev: 612
     nit: 55
    njev: 54
  status: 0
 success: True
       x: array([ 3.49088704e-03,  2.40184213e+00,  2.96674046e-18,  4.91779016e-01,
       -1.82792772e-01,  2.36302127e-01,  3.05550496e-01,  1.00000000e+01,
       -5.67600166e+00,  4.40809768e-01])",0.25489141576004654,0.12555111589672083,0xmq6,37_57_
7,"     fun: 0.2540456080788029
     jac: array([ 3.71021777e-02, -3.64184380e-04, -8.42437148e-04, -1.04308501e-03,
       -3.54398042e-04, -4.70552593e-04, -3.16127017e-03, -1.09259039e-04,
       -5.85615635e-06,  0.00000000e+00])
 message: 'Optimization terminated successfully'
    nfev: 1190
     nit: 105
    njev: 104
  status: 0
 success: True
       x: array([ 3.84369217e-03,  1.01867204e+00,  2.70011405e-01,  2.53374234e-01,
       -4.77931412e-01, -2.18538838e-01,  6.97181516e-02,  7.29348620e+00,
       -2.98269805e+00,  4.40857657e-01])",0.2540456080788029,0.12225411643966728,0xmq6,5_41_
8,"     fun: 0.2511781532370555
     jac: array([-0.05750705, -0.00097369,  0.03076695, -0.00046471,  0.00021322,
       -0.00017858,  0.06373418, -0.00017653,  0.00046657,  0.        ])
 message: 'Optimization terminated successfully'
    nfev: 784
     nit: 68
    njev: 67
  status: 0
 success: True
       x: array([ 1.99432312e-03,  1.73037838e-01,  7.06196915e-18,  4.78959700e-01,
       -5.58557687e-02,  5.08145983e-01,  2.64664642e-03,  1.87700991e+00,
       -9.41814497e-01,  4.40831162e-01])",0.2511781532370555,0.2450065044021086,0xmq6,37_64_
9,"     fun: 0.24716176169682386
     jac: array([ 1.45638958e-02,  2.49072909e-05,  8.39804672e-03,  1.03035755e-03,
       -1.09158456e-04,  8.21072608e-05, -1.93465501e-04, -5.40725887e-06,
       -2.23889947e-06,  0.00000000e+00])
 message: 'Optimization terminated successfully'
    nfev: 861
     nit: 76
    njev: 76
  status: 0
 success: True
       x: array([ 3.39256205e-03,  4.03098036e+00,  0.00000000e+00,  4.91923197e-01,
       -2.00837931e-01,  2.26080278e-01,  5.17851228e-01,  1.00000000e+01,
       -6.30578619e+00,  4.40774643e-01])",0.24716176169682386,0.2873392310121579,0xmq6,92_64_
10,"     fun: 0.22810934404712802
     jac: array([-1.26034128e+00,  4.46848571e-06, -1.84394419e-04,  4.07528132e-05,
       -1.34842470e-03, -4.59509343e-03, -5.71330220e-01, -1.02562830e-04,
       -2.27175653e-04,  1.39884651e-06])
 message: 'Optimization terminated successfully'
    nfev: 1168
     nit: 101
    njev: 100
  status: 0
 success: True
       x: array([ 1.81642349e-05,  8.61972730e-01,  1.29042939e+00,  4.28295801e-01,
       -9.78146516e-02,  4.51973325e-02,  8.99204082e-05,  1.76067856e+00,
       -7.06290838e-01,  5.49454293e-01])",0.22810934404712802,0.2290963554903706,0xmq6,37_101_
