,res,rmse_fit,rmse_pred,participant,testPair
0,"     fun: 0.2399599234916916
     jac: array([-0.00021788, -0.0006716 , -0.00019873, -0.00055216, -0.00197474])
 message: 'Optimization terminated successfully'
    nfev: 223
     nit: 35
    njev: 35
  status: 0
 success: True
       x: array([ 0.81976715,  0.42840344,  0.27952541, -0.40769819,  0.04408516])",0.2399599234916916,0.30965933376018084,0xmq6,101_57_
1,"     fun: 0.24939288759645964
     jac: array([0.0003201 , 0.00201658, 0.00059468, 0.00070133, 0.00578536])
 message: 'Optimization terminated successfully'
    nfev: 257
     nit: 40
    njev: 40
  status: 0
 success: True
       x: array([ 0.78791989,  0.4368499 ,  0.27886406, -0.41004917,  0.04655454])",0.24939288759645964,0.11873059997455461,0xmq6,64_57_
2,"     fun: 0.23236027438245654
     jac: array([-0.00010871, -0.00022571, -0.00033338, -0.00015086, -0.00058628])
 message: 'Optimization terminated successfully'
    nfev: 270
     nit: 42
    njev: 42
  status: 0
 success: True
       x: array([ 0.82325291,  0.41688268,  0.28312708, -0.40627072,  0.04471174])",0.23236027438245654,0.40396932564535026,0xmq6,5_92_
3,"     fun: 0.24387982002764463
     jac: array([-0.00014555, -0.00037709, -0.00025829, -0.00020707, -0.0010166 ])
 message: 'Optimization terminated successfully'
    nfev: 277
     nit: 43
    njev: 43
  status: 0
 success: True
       x: array([ 0.76223919,  0.4404173 ,  0.30192489, -0.42626069,  0.04369024])",0.24387982002764463,0.26960061764425297,0xmq6,5_101_
4,"     fun: 0.2416118853665229
     jac: array([-6.40563667e-06,  3.15140933e-05, -5.69969416e-07,  1.64955854e-04,
       -1.96073204e-04])
 message: 'Optimization terminated successfully'
    nfev: 207
     nit: 32
    njev: 32
  status: 0
 success: True
       x: array([ 0.79072437,  0.41886521,  0.28026034, -0.40648338,  0.04913074])",0.2416118853665229,0.2861645227122,0xmq6,37_92_
5,"     fun: 0.24719192250798974
     jac: array([ 2.27987766e-06,  1.57722831e-03, -3.12421471e-04,  4.10405919e-04,
        2.22765654e-03])
 message: 'Optimization terminated successfully'
    nfev: 236
     nit: 37
    njev: 37
  status: 0
 success: True
       x: array([ 0.77974138,  0.43501344,  0.28054174, -0.40669192,  0.0468334 ])",0.24719192250798974,0.18158856460943493,0xmq6,101_92_
6,"     fun: 0.24810119197976332
     jac: array([-2.74665654e-04, -3.70079651e-04,  5.23719937e-05, -3.75520438e-04,
       -2.55758315e-03])
 message: 'Optimization terminated successfully'
    nfev: 212
     nit: 33
    njev: 33
  status: 0
 success: True
       x: array([ 0.81108666,  0.42867508,  0.27691236, -0.4116464 ,  0.04639621])",0.24810119197976332,0.16022049790273668,0xmq6,37_57_
7,"     fun: 0.2470394782919182
     jac: array([-8.38376582e-05, -4.98028472e-04,  6.53043389e-05, -7.17926770e-04,
       -4.15847078e-03])
 message: 'Optimization terminated successfully'
    nfev: 351
     nit: 55
    njev: 55
  status: 0
 success: True
       x: array([ 1.43593821,  0.45357073,  0.30343526, -0.41431849,  0.02979386])",0.2470394782919182,0.39040755566098667,0xmq6,5_41_
8,"     fun: 0.24659912667106176
     jac: array([-2.76094303e-04,  2.63391063e-04, -9.34079289e-05, -1.48551539e-04,
       -2.14852951e-03])
 message: 'Optimization terminated successfully'
    nfev: 237
     nit: 37
    njev: 37
  status: 0
 success: True
       x: array([ 0.76985157,  0.4452076 ,  0.27961769, -0.41032557,  0.0467298 ])",0.24659912667106176,0.19896446366491338,0xmq6,37_64_
9,"     fun: 0.24051676628934807
     jac: array([-2.54327431e-04,  5.66802919e-06,  1.18765980e-04, -1.73045322e-04,
       -9.32229683e-04])
 message: 'Optimization terminated successfully'
    nfev: 192
     nit: 30
    njev: 30
  status: 0
 success: True
       x: array([ 0.78823864,  0.4399108 ,  0.27890604, -0.40932533,  0.0457092 ])",0.24051676628934807,0.29943102388076936,0xmq6,92_64_
10,"     fun: 0.24480248814974537
     jac: array([6.14263117e-05, 1.54731795e-04, 1.45519152e-04, 2.18285248e-04,
       5.85010275e-04])
 message: 'Optimization terminated successfully'
    nfev: 263
     nit: 41
    njev: 41
  status: 0
 success: True
       x: array([ 0.75386009,  0.45526131,  0.28358573, -0.40276879,  0.0441727 ])",0.24480248814974537,0.23966951249710264,0xmq6,37_101_
11,"     fun: 0.24301927022341152
     jac: array([-0.00020938,  0.00038651, -0.00079767,  0.00016954,  0.0012185 ])
 message: 'Optimization terminated successfully'
    nfev: 226
     nit: 36
    njev: 36
  status: 0
 success: True
       x: array([ 0.79383773,  0.40864903,  0.28101634, -0.40408479,  0.05020023])",0.24301927022341152,0.2707260497014653,0xmq6,92_57_
12,"     fun: 0.24471216156480585
     jac: array([ 3.60235572e-06,  1.87020749e-04,  3.41217965e-05,  2.92602926e-05,
       -3.87212262e-04])
 message: 'Optimization terminated successfully'
    nfev: 217
     nit: 34
    njev: 34
  status: 0
 success: True
       x: array([ 0.71364585,  0.44939391,  0.29292244, -0.38998684,  0.04630854])",0.24471216156480585,0.2396146904139077,0xmq6,37_41_
13,"     fun: 0.23582075058317928
     jac: array([-0.0002389 , -0.00085906,  0.00014207, -0.00082941, -0.00147394])
 message: 'Optimization terminated successfully'
    nfev: 196
     nit: 31
    njev: 31
  status: 0
 success: True
       x: array([ 0.98432864,  0.41204161,  0.21955835, -0.45039318,  0.05540485])",0.23582075058317928,0.3879703854434914,0xmq6,5_64_
14,"     fun: 0.24771831076398673
     jac: array([-3.75155360e-05, -4.69170511e-04,  1.31942332e-04, -1.63158402e-04,
       -2.11985596e-03])
 message: 'Optimization terminated successfully'
    nfev: 174
     nit: 28
    njev: 28
  status: 0
 success: True
       x: array([ 0.78179268,  0.44318241,  0.27668334, -0.41451365,  0.04722157])",0.24771831076398673,0.17238328095180244,0xmq6,101_64_
15,"     fun: 0.24906667278450212
     jac: array([ 0.00016859,  0.0016526 , -0.00043603,  0.00088627,  0.00550798])
 message: 'Optimization terminated successfully'
    nfev: 157
     nit: 25
    njev: 25
  status: 0
 success: True
       x: array([ 0.78039663,  0.43454008,  0.28033675, -0.40688715,  0.04697974])",0.24906667278450212,0.12978350891806958,0xmq6,64_41_
16,"     fun: 0.08888481212528233
     jac: array([-6.40070066e-05, -6.66766427e-04, -2.71127559e-04, -3.54274176e-04,
       -3.07384878e-03])
 message: 'Optimization terminated successfully'
    nfev: 378
     nit: 60
    njev: 60
  status: 0
 success: True
       x: array([ 1.14872847,  0.79621489,  0.17630862, -0.53773918,  0.03311734])",0.08888481212528233,0.10289896971466798,19bq6,101_57_
17,"     fun: 0.0893000491440077
     jac: array([-0.00010851, -0.00080273, -0.00042125, -0.00089091, -0.00621769])
 message: 'Optimization terminated successfully'
    nfev: 329
     nit: 53
    njev: 53
  status: 0
 success: True
       x: array([ 1.11920038,  0.80065027,  0.1735145 , -0.54246817,  0.0339618 ])",0.0893000491440077,0.09831241567451629,19bq6,64_57_
18,"     fun: 0.08885434394332045
     jac: array([-6.55427575e-05, -5.13632782e-04, -1.43922865e-04, -6.41678460e-04,
       -4.09253035e-03])
 message: 'Optimization terminated successfully'
    nfev: 395
     nit: 63
    njev: 63
  status: 0
 success: True
       x: array([ 1.26700548,  0.7935659 ,  0.18158658, -0.54598449,  0.03144205])",0.08885434394332045,0.10786488811543042,19bq6,5_92_
19,"     fun: 0.09118415193187669
     jac: array([ 4.38606367e-05,  2.39192042e-03, -5.71924262e-04,  5.55356964e-05,
        2.38732435e-04])
 message: 'Optimization terminated successfully'
    nfev: 499
     nit: 81
    njev: 81
  status: 0
 success: True
       x: array([13.98376253,  0.56916317,  8.96567088, -0.75960306, 10.        ])",0.09118415193187669,0.13153582292475277,19bq6,5_101_
20,"     fun: 0.09031872545122233
     jac: array([-1.13552436e-04, -8.14304687e-04,  9.55853611e-05, -1.30759180e-03,
       -5.30535169e-03])
 message: 'Optimization terminated successfully'
    nfev: 348
     nit: 55
    njev: 55
  status: 0
 success: True
       x: array([ 1.04794835,  0.79065702,  0.17715587, -0.53733676,  0.03540224])",0.09031872545122233,0.08006397638838846,19bq6,37_92_
21,"     fun: 0.0875489619572067
     jac: array([-8.24006274e-05, -8.25531781e-04, -5.80204651e-05, -4.89990227e-04,
       -2.42781639e-03])
 message: 'Optimization terminated successfully'
    nfev: 345
     nit: 55
    njev: 55
  status: 0
 success: True
       x: array([ 0.99853002,  0.78900264,  0.17950368, -0.5333485 ,  0.03585697])",0.0875489619572067,0.12311770645607845,19bq6,101_92_
22,"     fun: 0.09108575315393583
     jac: array([-9.79593024e-05, -5.13438135e-04, -4.01767902e-04, -3.60783190e-04,
       -3.77403572e-03])
 message: 'Optimization terminated successfully'
    nfev: 382
     nit: 60
    njev: 60
  status: 0
 success: True
       x: array([ 1.06946143,  0.79932607,  0.1792436 , -0.53469843,  0.03346671])",0.09108575315393583,0.0623553266757928,19bq6,37_57_
23,"     fun: 0.09136399841111421
     jac: array([-3.69185582e-05, -3.51965427e-05,  1.01309270e-05, -9.39872116e-05,
       -4.27246094e-04])
 message: 'Optimization terminated successfully'
    nfev: 409
     nit: 63
    njev: 63
  status: 0
 success: True
       x: array([ 0.71272112,  0.79646922,  0.25703816, -0.45599458,  0.03193329])",0.09136399841111421,0.11905503634448003,19bq6,5_41_
24,"     fun: 0.0917798132569399
     jac: array([-0.00016604, -0.00109713, -0.00035373, -0.00118619, -0.00772153])
 message: 'Optimization terminated successfully'
    nfev: 339
     nit: 54
    njev: 54
  status: 0
 success: True
       x: array([ 1.08213756,  0.79364245,  0.17777512, -0.53570155,  0.03415139])",0.0917798132569399,0.03961766068318368,19bq6,37_64_
25,"     fun: 0.08918111052438366
     jac: array([-0.00020741, -0.00191111, -0.00112681, -0.00202379, -0.01643826])
 message: 'Optimization terminated successfully'
    nfev: 344
     nit: 55
    njev: 55
  status: 0
 success: True
       x: array([ 1.24374085,  0.80276808,  0.1745315 , -0.54035754,  0.03157477])",0.08918111052438366,0.10115584805538473,19bq6,92_64_
26,"     fun: 0.08990292192877979
     jac: array([-0.00010466, -0.00026865, -0.00024365, -0.00055384, -0.00374763])
 message: 'Optimization terminated successfully'
    nfev: 346
     nit: 55
    njev: 55
  status: 0
 success: True
       x: array([ 0.99863739,  0.78895734,  0.17818901, -0.53495758,  0.03619838])",0.08990292192877979,0.08891531822554394,19bq6,37_101_
27,"     fun: 0.09178543130509377
     jac: array([-1.76789239e-04,  5.00679016e-06, -2.84681097e-04, -1.31571759e-03,
       -8.09425302e-03])
 message: 'Optimization terminated successfully'
    nfev: 348
     nit: 55
    njev: 55
  status: 0
 success: True
       x: array([ 1.05658981,  0.79358692,  0.17791007, -0.53569973,  0.03461979])",0.09178543130509377,0.03931530077898373,19bq6,92_57_
28,"     fun: 0.09156617356273052
     jac: array([-9.64794308e-05, -8.35724175e-04,  1.70159154e-04, -8.47795047e-04,
       -4.20261640e-03])
 message: 'Optimization terminated successfully'
    nfev: 363
     nit: 57
    njev: 57
  status: 0
 success: True
       x: array([ 1.09142161,  0.79500971,  0.17662019, -0.53681415,  0.03407255])",0.09156617356273052,0.04689758753742024,19bq6,37_41_
29,"     fun: 0.08883307702840883
     jac: array([-2.16746703e-05, -7.38401897e-04,  4.49137762e-04, -3.09816562e-04,
       -8.93192366e-04])
 message: 'Optimization terminated successfully'
    nfev: 411
     nit: 65
    njev: 65
  status: 0
 success: True
       x: array([ 1.46365578,  0.79296622,  0.14203398, -0.55966647,  0.03601598])",0.08883307702840883,0.11106990821235806,19bq6,5_64_
30,"     fun: 0.09090696437353263
     jac: array([-0.0001781 , -0.00125645, -0.00044962, -0.00162259, -0.00996703])
 message: 'Optimization terminated successfully'
    nfev: 360
     nit: 57
    njev: 57
  status: 0
 success: True
       x: array([ 1.09006444,  0.79659885,  0.17608894, -0.53881001,  0.03417869])",0.09090696437353263,0.06554739168069533,19bq6,101_64_
31,"     fun: 0.08947454658953742
     jac: array([-9.33278352e-05, -1.19891018e-03,  8.99918377e-05, -8.04291107e-04,
       -3.66829988e-03])
 message: 'Optimization terminated successfully'
    nfev: 366
     nit: 58
    njev: 58
  status: 0
 success: True
       x: array([ 1.04414925,  0.8010108 ,  0.17332271, -0.54276794,  0.03536501])",0.08947454658953742,0.09666223707613579,19bq6,64_41_
32,"     fun: 0.11558749213843733
     jac: array([-2.41789967e-05, -7.80839473e-05, -4.34368849e-06, -5.71934506e-05,
       -2.79992819e-05])
 message: 'Optimization terminated successfully'
    nfev: 325
     nit: 52
    njev: 52
  status: 0
 success: True
       x: array([ 2.06360762,  0.57376439,  1.82358893, -1.00048075,  0.57685675])",0.11558749213843733,0.14416537492299428,1z0ca,101_57_
33,"     fun: 0.12033722893643574
     jac: array([ 3.49171460e-05,  9.46017914e-04, -2.00402923e-04,  1.81851909e-04,
        3.47544439e-04])
 message: 'Optimization terminated successfully'
    nfev: 377
     nit: 61
    njev: 61
  status: 0
 success: True
       x: array([ 1.98761836,  0.58889552,  1.70090979, -0.93117467,  0.46953992])",0.12033722893643574,0.03725146694657718,1z0ca,64_57_
