,res,rmse_fit,rmse_pred,participant,testPair
0,"     fun: 0.12142031747223679
     jac: array([ 3.54107646e-02,  1.52278692e-04, -5.86304814e-05,  7.73929060e-06,
       -7.57370144e-05, -2.38623470e-05, -1.88276172e-05, -6.48060814e-05,
        5.11696562e-05,  0.00000000e+00,  1.70450658e-05, -1.76094472e-04,
        2.43633986e-05,  1.20867044e-04,  9.51513648e-05,  8.31549987e-05,
       -4.78671864e-05,  2.74609774e-05,  3.55951488e-05,  8.04467127e-05,
       -1.05360523e-05, -3.57516110e-05,  2.99857929e-05, -1.23015605e-04])
 message: 'Optimization terminated successfully'
    nfev: 2865
     nit: 114
    njev: 114
  status: 0
 success: True
       x: array([ 0.00672863,  4.87143429,  0.36379608,  0.36619343,  1.99171311,
        0.68690444,  0.48974394, -0.79107432, -3.55222812,  0.44080818,
       -2.70273755,  0.33587777,  1.06448212,  1.2700117 ,  2.63126108,
        0.5600052 ,  1.06088537,  0.90481792, -2.39052093,  2.09453941,
        0.81147804,  0.77464629,  1.78715214,  1.02334193])",0.12142031747223679,0.23965597117070717,0xmq6,101_57_
1,"     fun: 0.12699840522436878
     jac: array([ 2.79613510e-02,  3.51745635e-04, -8.85156915e-04, -1.27352588e-03,
        7.05290586e-05,  1.12468377e-04, -4.63595241e-03, -1.94579363e-04,
       -7.06687570e-05, -3.48314643e-07,  1.10924244e-04, -3.69375572e-04,
       -3.52524221e-05,  3.18607315e-04,  7.76350498e-05, -6.36763871e-05,
       -1.27933919e-04, -9.25958157e-05, -7.25686550e-06,  1.05910003e-04,
       -5.50448895e-05, -1.32290646e-04,  1.60088763e-04,  1.96408480e-04])
 message: 'Optimization terminated successfully'
    nfev: 3198
     nit: 127
    njev: 127
  status: 0
 success: True
       x: array([ 0.00605144,  2.12789862,  0.40746117,  0.40519893,  1.45531032,
        0.91873237,  0.07806947, -0.51989692, -3.28379493,  0.4347514 ,
       -1.288296  ,  0.94779173,  0.91273684,  1.19641968,  1.80055388,
        0.86848948,  0.68798784,  1.06033543, -1.38535201,  1.69597343,
        0.78605486,  0.95293867,  1.3366783 ,  1.04790718])",0.12699840522436878,0.14396026847940305,0xmq6,64_57_
2,"     fun: 0.1300941484882065
     jac: array([-2.33935472e-02,  7.17490911e-06, -5.38473949e-04, -7.73316249e-04,
        1.62390992e-04, -1.81699172e-04,  2.70132907e-03, -1.66205689e-04,
       -6.25606626e-05,  0.00000000e+00, -3.51164490e-05,  5.80772758e-06,
       -3.99798155e-05, -6.27562404e-05, -1.44110993e-04, -2.48104334e-06,
        1.49987638e-04,  4.23057005e-04,  1.69262290e-04, -1.18039548e-04,
        3.22889537e-05, -1.40754506e-04, -1.27453357e-04,  1.39351934e-04])
 message: 'Optimization terminated successfully'
    nfev: 2067
     nit: 82
    njev: 82
  status: 0
 success: True
       x: array([ 0.00661927,  2.73956199,  0.36909907,  0.40181141,  0.07600273,
        1.52901315,  0.09022037,  3.57228256, -0.26888678,  0.53883425,
        0.08164226, -0.91797456, -0.2169072 ,  0.99643911,  0.09413992,
        1.79771974, -0.06490329,  0.82890857, -0.67214553, -1.11793033,
        0.03210162,  0.92168555, -0.08666051,  1.37151419])",0.1300941484882065,0.07558745631134671,0xmq6,5_92_
3,"     fun: 0.12082121738124928
     jac: array([-1.19123218e-01, -1.37052126e-03, -1.48995779e-04, -1.93445012e-04,
       -1.73762348e-03, -1.40810199e-02,  1.39066681e+00, -1.05137005e-03,
        2.93363817e-04,  0.00000000e+00,  1.06656756e-02,  4.51530628e-02,
       -8.54612328e-04, -5.60847484e-03,  4.19970229e-03,  1.34358117e-02,
        3.50894500e-03,  2.11541113e-02, -1.53459134e-02, -6.84243627e-02,
        4.38137818e-03,  2.11379053e-02, -3.66019923e-03, -1.24254879e-02])
 message: 'Optimization terminated successfully'
    nfev: 4872
     nit: 191
    njev: 191
  status: 0
 success: True
       x: array([ 6.69175342e-03,  4.25489553e-01,  3.70140439e-01,  4.32011282e-01,
        7.36911596e-01,  1.42203377e+00,  3.65804155e-04, -1.18470111e+00,
       -6.18156990e+00,  4.34891813e-01,  4.20861298e-01,  1.48948423e+00,
        6.77234296e-01,  1.43718022e+00,  7.74292129e-01,  1.41263108e+00,
        6.22944159e-01,  1.44678783e+00,  3.71760652e-01,  1.50884017e+00,
        6.50305072e-01,  1.43929360e+00,  7.18162733e-01,  1.42723653e+00])",0.12082121738124928,0.24490237875309986,0xmq6,5_101_
4,"     fun: 0.12741960862585813
     jac: array([ 1.29103549e-02,  1.44112855e-05,  3.06732953e-04,  1.49808824e-04,
        4.50573862e-06, -1.68979168e-05,  4.13294882e-04,  8.33999366e-05,
       -8.43331218e-05,  0.00000000e+00,  9.12696123e-06,  2.51401216e-05,
       -2.90982425e-05, -1.17979944e-05,  8.07456672e-06, -8.11796635e-05,
       -1.12883747e-04,  1.27658248e-04,  1.18127093e-04,  2.99587846e-05,
        3.95867974e-05, -4.99635935e-05, -1.19132921e-04,  6.22272491e-05])
 message: 'Optimization terminated successfully'
    nfev: 2414
     nit: 96
    njev: 96
  status: 0
 success: True
       x: array([ 0.00570131,  3.76761035,  0.39597246,  0.37215574,  1.45495473,
       -0.06479707,  0.25258323, -3.32398857, -1.22093067,  0.44079242,
       -1.07545096,  2.28223136,  1.26863908,  0.55788951,  1.71230393,
       -1.00846229,  0.99306369,  0.4146291 , -0.01019989,  3.15525453,
        0.90146467,  0.20878696,  1.54187703, -0.2271165 ])",0.12741960862585813,0.1714747448704925,0xmq6,37_92_
5,"     fun: 0.12248613583634042
     jac: array([ 1.73633695e-01,  8.98057595e-04, -1.51248090e-03,  3.04332934e-04,
        5.93979498e-02,  2.31381661e-01, -1.03499956e+00, -3.55133694e-03,
        5.37969172e-05,  0.00000000e+00, -2.58484483e-03, -2.02255826e-02,
        5.10857664e-02,  1.76117862e-01, -9.77949053e-03, -3.14781098e-02,
       -4.91267042e-02, -1.57360903e-01, -1.31695811e-02, -5.61300525e-02,
       -2.93633407e-02, -1.21867184e-01, -3.97709198e-03, -1.96070904e-02])
 message: 'Optimization terminated successfully'
    nfev: 6140
     nit: 240
    njev: 240
  status: 0
 success: True
       x: array([ 7.27303284e-03,  3.33841174e-01,  3.91839938e-01,  4.58354980e-01,
        7.00344811e-01,  1.34799460e+00,  8.11148615e-05, -1.30612265e+00,
       -6.13517938e+00,  4.35321928e-01,  5.19582814e-01,  1.39277048e+00,
        6.66216719e-01,  1.35727631e+00,  7.30380353e-01,  1.34002121e+00,
        6.37542675e-01,  1.36375027e+00,  5.07914902e-01,  1.39805863e+00,
        6.57000434e-01,  1.35843397e+00,  7.00254019e-01,  1.34791315e+00])",0.12248613583634042,0.20268556442233265,0xmq6,101_92_
6,"     fun: 0.1137151980205864
     jac: array([ 5.65628074e-02,  2.79383361e-03, -9.96291637e-05, -8.68019648e-04,
        1.32379029e-03,  3.44368070e-03, -5.37232445e-01,  2.27885321e-04,
       -6.47027045e-05,  0.00000000e+00, -3.41384672e-04, -2.62211263e-03,
       -1.01789832e-04,  1.03016011e-03, -5.29147685e-04, -6.88556489e-03,
        4.76952642e-04,  1.28151290e-03, -2.59196386e-04,  2.91624293e-03,
       -1.07101910e-03, -1.86203700e-03,  2.80328095e-04,  2.86625419e-03])
 message: 'Optimization terminated successfully'
    nfev: 5038
     nit: 198
    njev: 198
  status: 0
 success: True
       x: array([ 7.40787620e-03,  2.01754256e-01,  5.72813191e-01,  4.51371631e-01,
        7.82167187e-01,  1.15717418e+00,  8.75242823e-04, -1.73413894e-01,
       -4.09669745e+00,  4.34829140e-01, -6.59739076e-02,  1.21388113e+00,
        6.37386426e-01,  1.18882770e+00,  8.85959886e-01,  1.14586891e+00,
        4.74115108e-01,  1.19104644e+00, -5.04913197e-02,  1.26987321e+00,
        5.76251056e-01,  1.16710655e+00,  7.20073618e-01,  1.17182126e+00])",0.1137151980205864,0.3336767632741793,0xmq6,37_57_
7,"     fun: 0.11970527848636646
     jac: array([-2.10919153e-01, -1.57673629e-02, -2.60502100e-04, -1.30567607e-03,
       -9.89868585e-03,  1.55581608e-02, -1.50911350e+01, -6.08101487e-04,
        2.19087861e-03,  0.00000000e+00, -1.91983702e-02, -3.13546509e-03,
        2.21485831e-02, -9.00238194e-03, -2.53796484e-03,  1.28583079e-02,
        8.90007708e-03, -7.00101536e-03, -1.89145040e-02,  3.48272827e-03,
       -9.68177151e-03, -1.57401701e-02,  3.02164275e-02,  8.10467638e-04])
 message: 'Optimization terminated successfully'
    nfev: 7187
     nit: 282
    njev: 282
  status: 0
 success: True
       x: array([ 6.73172795e-03,  1.96877799e-02,  2.44786756e+00,  4.74825756e-01,
        1.09379248e+00,  6.76391653e-01,  2.73426660e-05, -5.78048453e+00,
       -1.19897427e+00,  4.20108300e-01,  1.00075041e+00,  9.65622454e-01,
        1.11897910e+00,  5.86075415e-01,  1.21100030e+00,  2.22865719e-01,
        1.10112258e+00,  6.27136350e-01,  1.01951111e+00,  9.54356337e-01,
        1.11271741e+00,  5.79524800e-01,  1.12758291e+00,  5.47976732e-01])",0.11970527848636646,0.14204291225177973,0xmq6,5_41_
8,"     fun: 0.12892177560156579
     jac: array([-3.70392054e-02, -3.87113541e-05,  2.16035172e-04,  3.79517674e-04,
        2.52872705e-05,  3.17197293e-04,  3.81171703e-05,  1.35635957e-04,
       -1.82855874e-05,  0.00000000e+00,  4.42471355e-05,  1.46133825e-04,
        5.44786453e-05, -2.13690102e-04,  2.05626711e-04,  6.82491809e-05,
       -1.60070136e-04, -9.86699015e-05, -5.74998558e-05,  6.73346221e-06,
       -8.79913568e-05, -5.01498580e-05, -1.60157681e-04, -1.57987699e-04])
 message: 'Optimization terminated successfully'
    nfev: 2896
     nit: 115
    njev: 115
  status: 0
 success: True
       x: array([ 0.00610543,  4.78593336,  0.43574209,  0.34407861,  0.68310176,
        1.23564146,  0.52476363, -0.71214473, -3.23737727,  0.44079973,
       -2.79099224, -0.04942023,  1.40600406,  1.19560182,  2.86658259,
        0.27141372,  1.05545073,  0.83894162, -2.07468769,  2.22633759,
        1.0709099 ,  0.66235729,  1.95871108,  0.95418342])",0.12892177560156579,0.2009085514032087,0xmq6,37_64_
9,"     fun: 0.1227137555343587
     jac: array([ 5.45243947e-02, -1.89682469e-05, -3.30707990e-04, -8.17121938e-04,
        2.29460187e-04, -3.62936407e-05, -2.26543285e-04, -2.36062333e-05,
        2.74963677e-05,  0.00000000e+00,  2.93869525e-05, -3.51369381e-05,
       -2.96753831e-04,  3.03471461e-05,  2.27740034e-04,  6.74556941e-06,
        6.50063157e-06, -9.26479697e-06, -5.60069457e-05, -6.58072531e-06,
        3.18789855e-04, -5.66272065e-05, -4.47895378e-04,  7.60676339e-05])
 message: 'Optimization terminated successfully'
    nfev: 3624
     nit: 144
    njev: 144
  status: 0
 success: True
       x: array([ 5.33074009e-03,  2.49727852e+00,  3.71292935e-01,  4.28567860e-01,
       -7.38520165e-01,  2.37382348e+00,  2.05982715e-01,  1.00000000e+01,
       -1.00552825e-01,  5.38786912e-01, -5.46439965e-01, -2.83297454e+00,
       -1.04297818e+00,  1.56937749e+00, -9.42865197e-01,  2.45006562e+00,
       -8.88219557e-01,  1.00275514e+00, -1.25458163e+00, -2.55975643e+00,
       -7.72535350e-01,  1.29844989e+00, -1.02204106e+00,  1.94232875e+00])",0.1227137555343587,0.21590151370830424,0xmq6,92_64_
