,res,rmse_fit,rmse_pred,participant,testPair
0,"     fun: 0.21294028999006412
     jac: array([ 2.76406575e-02,  1.66811049e-04, -6.83413818e-04,  5.82043082e-04,
       -5.69541007e-05,  1.55773014e-04,  1.26697123e-05,  1.24871731e-05,
       -9.93697345e-03, -9.17408615e-05, -8.18762928e-05, -3.99053097e-05,
        8.22562724e-05,  0.00000000e+00])
 message: 'Optimization terminated successfully'
    nfev: 2162
     nit: 142
    njev: 142
  status: 0
 success: True
       x: array([ 6.24371667e-03,  5.00383044e-01,  5.00752823e-01,  1.45343891e-01,
       -1.82557644e-01,  1.22346060e-01,  3.24642307e-01, -4.78299032e-01,
        5.03620361e-02,  1.00000000e+01, -4.97669500e+00, -2.87401873e+00,
        3.30038005e-02,  7.13014178e-01])",0.21294028999006412,0.2725335417420439,0xmq6,101_57_
1,"     fun: 0.22183724527631063
     jac: array([ 1.00876745e-02,  4.93394211e-04, -1.56513974e-03, -1.39678642e-03,
        5.79841435e-06, -5.10662794e-05,  4.61470336e-05,  3.64966691e-05,
       -1.85569189e-03,  6.30132854e-05,  8.84570181e-06,  2.45012343e-05,
       -4.35318798e-05,  0.00000000e+00])
 message: 'Optimization terminated successfully'
    nfev: 1956
     nit: 128
    njev: 128
  status: 0
 success: True
       x: array([ 4.96302538e-03,  1.99033143e+00,  7.74465697e-01, -1.55618463e-01,
       -2.09369083e-01,  1.38582238e-01,  3.73833488e-01, -5.79225945e-01,
        1.16038973e-01,  8.95778824e+00, -3.50846629e+00, -9.38055146e-01,
        1.31892634e+00,  8.78007263e-01])",0.22183724527631063,0.07864556150599901,0xmq6,64_57_
2,"     fun: 0.20591380028858472
     jac: array([ 1.07606450e-01,  1.37919560e-04, -6.84915110e-04,  2.30165012e-03,
       -2.83401459e-05,  7.21961260e-06, -8.45454633e-05,  4.60576266e-05,
       -7.18111172e-04, -2.00793147e-06, -3.54461372e-06, -2.23983079e-05,
        5.55142760e-05,  0.00000000e+00])
 message: 'Optimization terminated successfully'
    nfev: 1955
     nit: 129
    njev: 129
  status: 0
 success: True
       x: array([ 5.55263899e-03,  9.98862822e+00,  1.52460849e+00, -1.00000000e+00,
       -5.52495336e-01,  4.53336331e-01,  4.88883914e-01, -1.59535168e+00,
        6.69873311e-01,  9.10153361e+00, -3.26326109e+00,  8.58082689e-01,
        7.65581819e-01,  2.78592834e-01])",0.20591380028858472,0.381593832566883,0xmq6,5_92_
3,"     fun: 0.21548404454184295
     jac: array([-2.28915177e-03,  8.30832869e-05, -3.05995345e-05,  3.35588120e-03,
       -1.00461766e-04,  1.11375004e-04,  5.42681664e-05,  8.64733011e-05,
        4.40113246e-04, -1.31594017e-04,  2.18935311e-05, -9.33986157e-05,
       -9.20873135e-05,  0.00000000e+00])
 message: 'Optimization terminated successfully'
    nfev: 1757
     nit: 115
    njev: 115
  status: 0
 success: True
       x: array([ 8.18286467e-03,  7.67427182e+00,  1.53095647e+00, -1.00000000e+00,
       -9.27407921e-01,  9.69124928e-01,  1.44123297e+00, -1.63228354e+00,
        8.41795454e-01,  8.86559890e+00, -3.73506524e+00,  9.55504342e-01,
       -9.13105371e-01,  8.77703332e-01])",0.21548404454184295,0.25903521705667404,0xmq6,5_101_
4,"     fun: 0.2168191047369904
     jac: array([ 4.78631742e-02,  1.19531527e-04,  4.97698784e-05,  1.88537315e-03,
       -1.63653865e-04,  1.09938905e-04, -1.38469040e-04,  1.55884773e-05,
       -2.33782455e-04,  4.02219594e-05,  7.63274729e-05,  3.28868628e-05,
        8.94889235e-05, -2.98023224e-08])
 message: 'Optimization terminated successfully'
    nfev: 1839
     nit: 121
    njev: 121
  status: 0
 success: True
       x: array([ 7.92870931e-03,  7.70550929e+00,  1.55251558e+00, -1.00000000e+00,
       -4.39440864e-01,  9.68031281e-01,  1.41266135e+00, -1.54982845e+00,
        7.36536271e-01,  8.96007807e+00, -3.93881047e+00,  2.40947619e-01,
       -3.29352029e-02,  7.12310155e-01])",0.2168191047369904,0.22936904114412168,0xmq6,37_92_
5,"     fun: 0.20715902151452742
     jac: array([ 4.12898017e+01, -1.52736902e-07, -1.69500709e-07, -4.04718146e-03,
       -7.61173666e-03, -6.17969781e-04, -3.53788584e-03, -1.44818928e-02,
       -8.40655332e-01,  1.69158522e-02, -7.88733363e-04, -1.72640029e-02,
       -1.62808560e-02,  0.00000000e+00])
 message: 'Optimization terminated successfully'
    nfev: 5327
     nit: 348
    njev: 348
  status: 0
 success: True
       x: array([ 2.07502304e-05,  4.29001698e+03,  1.00000000e+04,  6.22825405e-01,
        2.43271209e-01,  1.63392054e-01, -9.51683894e-02, -3.64135390e-01,
        1.02350377e-02,  2.80008335e-01,  1.29549667e-01, -1.05979936e-01,
       -3.72947156e-01,  2.02635191e+00])",0.20715902151452742,0.19181194244496863,0xmq6,101_92_
6,"     fun: 0.21876433759038386
     jac: array([-3.48712131e-03,  1.93756074e-04, -5.59177250e-04, -6.71882182e-04,
        3.04728746e-05, -7.14436173e-05,  1.30718574e-04, -1.80266798e-05,
       -1.52060017e-03, -1.03184953e-04, -1.05295330e-04,  9.97632742e-06,
       -1.06692314e-05,  0.00000000e+00])
 message: 'Optimization terminated successfully'
    nfev: 1307
     nit: 86
    njev: 86
  status: 0
 success: True
       x: array([ 4.99387373e-03,  2.72218332e+00,  8.27186297e-01, -1.88167342e-01,
       -2.11777552e-01,  1.03153337e-01,  4.03655081e-01, -5.78882893e-01,
        1.14667368e-01,  6.58288083e+00, -2.62449322e+00, -5.08870787e-01,
        1.11223588e+00,  2.78414886e-01])",0.21876433759038386,0.18202493160661215,0xmq6,37_57_
7,"     fun: 0.21769679897747132
     jac: array([ 1.45654567e-02,  1.57743692e-04, -1.44537538e-04, -2.22042203e-04,
       -3.10856849e-05, -4.05758619e-05,  9.14186239e-05,  1.37034804e-05,
       -8.10090452e-04,  1.02538615e-05,  4.45712358e-05,  5.38676977e-06,
       -7.29300082e-05,  0.00000000e+00])
 message: 'Optimization terminated successfully'
    nfev: 1566
     nit: 103
    njev: 103
  status: 0
 success: True
       x: array([ 4.86004114e-03,  2.10105706e+00,  8.72615574e-01, -2.26863920e-01,
       -2.46279791e-01,  7.05649217e-02,  3.54789578e-01, -4.93896478e-01,
        9.99195095e-02,  7.23160782e+00, -2.16812348e+00,  3.06339816e-01,
        1.26974454e+00,  8.78182293e-01])",0.21769679897747132,0.3083375563552054,0xmq6,5_41_
8,"     fun: 0.21799450513452792
     jac: array([ 8.42137821e-03,  2.08081678e-04,  3.24029475e-04,  4.67493758e-03,
       -1.30450353e-04, -1.44064426e-04, -3.68990004e-05,  2.18501315e-04,
        1.05425715e-04,  1.55959278e-05,  1.91325322e-04,  2.88095325e-05,
       -1.19302422e-05,  0.00000000e+00])
 message: 'Optimization terminated successfully'
    nfev: 1675
     nit: 110
    njev: 110
  status: 0
 success: True
       x: array([ 6.92324839e-03,  7.41984775e+00,  1.56610136e+00, -1.00000000e+00,
       -5.86632204e-01,  8.63607769e-01,  9.25693039e-01, -1.44315140e+00,
        6.24061102e-01,  9.32855592e+00, -3.37723373e+00,  7.63115138e-01,
        3.19443125e-01,  8.77787752e-01])",0.21799450513452792,0.19784332821785017,0xmq6,37_64_
9,"     fun: 0.21541966471825086
     jac: array([ 1.38897672e-02,  1.14068389e-04,  5.69280237e-04,  6.85611740e-04,
       -7.19595701e-05,  8.84756446e-07,  1.67666003e-04,  8.52718949e-05,
        5.96079975e-04, -2.16774642e-05,  2.09081918e-05,  1.82334334e-05,
        2.55927444e-06, -1.49011612e-07])
 message: 'Optimization terminated successfully'
    nfev: 2390
     nit: 156
    njev: 156
  status: 0
 success: True
       x: array([ 6.41125076e-03,  6.58749015e-01,  5.62624617e-01,  7.48738533e-02,
       -1.85404703e-01,  2.28710024e-02,  4.38537771e-01, -4.68088798e-01,
        6.35144492e-02,  1.00000000e+01, -4.43182640e+00, -2.49790262e+00,
        8.30164239e-01,  8.77389468e-01])",0.21541966471825086,0.23548282472028842,0xmq6,92_64_
10,"     fun: 0.20994478719595946
     jac: array([-1.76660158e-03, -2.11864710e-04,  1.02445483e-07,  3.78688797e-04,
        3.18698585e-06,  9.03382897e-07,  2.92081386e-05,  8.16769898e-06,
        2.45742127e-03, -1.69716775e-04, -7.11642206e-05, -1.49009749e-04,
       -1.26494095e-04,  0.00000000e+00])
 message: 'Optimization terminated successfully'
    nfev: 2141
     nit: 140
    njev: 140
  status: 0
 success: True
       x: array([ 6.66937157e-03,  4.85784225e-01,  4.85552192e-01,  1.95868521e-01,
       -1.52839312e-01,  1.49039613e-01,  3.86550751e-01, -4.44076024e-01,
        4.21922083e-02,  7.66554637e+00, -4.50642973e+00, -2.06526442e+00,
       -6.35692028e-01,  7.11636785e-01])",0.20994478719595946,0.3359926857439915,0xmq6,37_101_
11,"     fun: 0.21770577584875578
     jac: array([ 1.61546003e-02,  2.29101628e-04, -8.01887363e-05,  8.00311565e-04,
       -1.69917941e-04,  2.60490924e-05, -7.66292214e-05, -1.06545165e-04,
        3.86383384e-04, -1.61245465e-04, -2.64253467e-05, -2.01372430e-04,
        1.97913498e-04,  0.00000000e+00])
 message: 'Optimization terminated successfully'
    nfev: 1329
     nit: 87
    njev: 87
  status: 0
 success: True
       x: array([ 4.61128449e-03,  2.78123361e+00,  6.65225115e-01, -4.17194290e-02,
       -1.42537273e-01,  3.24740603e-02,  3.35167161e-01, -4.29386124e-01,
        8.29987905e-02,  4.65309523e+00, -1.70887953e+00, -1.01539809e+00,
        8.33576456e-01,  2.78490532e-01])",0.21770577584875578,0.2104605512954968,0xmq6,92_57_
12,"     fun: 0.20647358331337748
     jac: array([-3.15267533e-01, -2.87648290e-05, -9.63322818e-05, -5.63561916e-04,
        8.18682835e-04, -3.55098397e-04, -4.50275838e-05, -3.08772549e-04,
        2.06162222e-03, -4.20678407e-05, -1.66669488e-05,  3.47476453e-05,
       -5.67846000e-05,  0.00000000e+00])
 message: 'Optimization terminated successfully'
    nfev: 2042
     nit: 135
    njev: 134
  status: 0
 success: True
       x: array([ 1.73462562e-03,  5.81781133e+00,  8.55197686e-01, -2.29169643e-01,
       -1.28993721e-01,  7.01896488e-03,  1.85411826e-01, -4.24537080e-01,
        1.19919139e-01,  8.97988390e+00, -3.57880398e+00, -2.36264150e+00,
        2.07272031e+00,  7.14103098e-01])",0.20647358331337748,0.421848298945219,0xmq6,37_41_
13,"     fun: 0.2068631702778089
     jac: array([ 6.64190091e-02,  2.33784318e-04,  1.62607059e-04,  6.96595758e-04,
       -2.24350020e-04,  9.85860825e-05, -2.22362578e-05, -1.06673688e-05,
       -2.58015655e-03, -2.34525651e-05,  1.42529607e-05,  2.11913139e-05,
        3.03927809e-05,  0.00000000e+00])
 message: 'Optimization terminated successfully'
    nfev: 2091
     nit: 136
    njev: 136
  status: 0
 success: True
       x: array([ 5.58064389e-03,  1.37262298e+00,  7.93869837e-01, -1.42183858e-01,
       -1.74583483e-01,  9.82663609e-02,  4.13773942e-01, -5.66593040e-01,
        9.73785484e-02,  1.00000000e+01, -3.42775530e+00, -1.55437556e+00,
        1.96442121e+00,  7.13356387e-01])",0.2068631702778089,0.3460448624523905,0xmq6,5_64_
14,"     fun: 0.2212768034382449
     jac: array([ 2.95866765e-02,  3.78509983e-04, -5.44367358e-04, -5.15721738e-04,
       -3.88137996e-05, -8.24313611e-05,  1.77063048e-05,  1.64918602e-05,
       -1.01548657e-02, -2.03326344e-05,  9.26461071e-05, -1.56721100e-04,
        9.63415951e-05,  0.00000000e+00])
 message: 'Optimization terminated successfully'
    nfev: 1169
     nit: 77
    njev: 77
  status: 0
 success: True
       x: array([ 0.00487774,  2.20659395,  0.69523733, -0.03110966, -0.15023917,
        0.01846566,  0.34348238, -0.46303037,  0.07284767,  4.86109558,
       -1.59493396, -1.00274826,  0.90902878,  0.27853463])",0.2212768034382449,0.11471032288211658,0xmq6,101_64_
15,"     fun: 0.21929740528056973
     jac: array([ 3.18624843e-02,  4.41443175e-04, -2.16455385e-03, -2.07375735e-03,
       -3.48813832e-04,  1.78631395e-04, -1.06554478e-04,  1.35941431e-04,
       -1.37009472e-03,  7.95666128e-05,  2.42851675e-05, -1.09430403e-05,
       -1.45733356e-05,  0.00000000e+00])
 message: 'Optimization terminated successfully'
    nfev: 2048
     nit: 134
    njev: 134
  status: 0
 success: True
       x: array([ 4.34115735e-03,  2.39201415e+00,  8.49308180e-01, -2.21022136e-01,
       -1.89674366e-01,  1.51090935e-01,  3.02971075e-01, -5.49636054e-01,
        1.13242356e-01,  8.75041273e+00, -3.45800243e+00, -8.11079358e-01,
        1.58743622e+00,  8.77106464e-01])",0.21929740528056973,0.17233711467637672,0xmq6,64_41_
