,res,rmse_fit,rmse_pred,participant,testPair
0,"     fun: 0.2190753376251382
     jac: array([-9.29459929e-07, -7.54235312e-04,  1.38150528e-03,  4.66572121e-04,
       -9.23434272e-04, -2.77076289e-03, -1.54318064e-02])
 message: 'Optimization terminated successfully'
    nfev: 1459
     nit: 176
    njev: 176
  status: 0
 success: True
       x: array([ 4.69325426e+02,  1.73541890e-01,  6.65443076e-01,  1.36097966e-01,
       -5.39906951e-01, -1.19259110e+00,  1.49376331e-01])",0.2190753376251382,0.3800879052604525,0xmq6,101_57_
1,"     fun: 0.2327852463536929
     jac: array([-3.85195017e-05, -6.60149381e-04,  1.05352886e-03, -6.72135502e-05,
       -2.41577625e-04, -9.45460051e-04, -4.12438810e-03])
 message: 'Optimization terminated successfully'
    nfev: 851
     nit: 103
    njev: 103
  status: 0
 success: True
       x: array([ 8.5727175 ,  0.14659874,  0.70955755, -0.05662684, -0.21663613,
       -0.68934599,  0.16638381])",0.2327852463536929,0.12134482314994278,0xmq6,64_57_
2,"     fun: 0.22035445799991452
     jac: array([-0.00035819, -0.00128796,  0.00128188, -0.00065214, -0.00040754,
       -0.00023397, -0.00106584])
 message: 'Optimization terminated successfully'
    nfev: 229
     nit: 28
    njev: 28
  status: 0
 success: True
       x: array([ 2.47113923, -0.36383281,  1.29397492, -0.77830024, -0.02720761,
       -0.30765043,  1.15387854])",0.22035445799991452,0.3655313606994356,0xmq6,5_92_
3,"     fun: 0.22881712576078952
     jac: array([ 9.02041793e-05,  1.88635476e-03, -6.70515001e-04,  2.76410952e-04,
        3.14041972e-04,  4.06371430e-04,  3.90112400e-04])
 message: 'Optimization terminated successfully'
    nfev: 582
     nit: 71
    njev: 71
  status: 0
 success: True
       x: array([ 5.87194181, -1.        ,  2.89905765, -2.4944563 , -0.5169296 ,
       -1.79784677,  6.66677775])",0.22881712576078952,0.26813010666955706,0xmq6,5_101_
4,"     fun: 0.22729895601354966
     jac: array([-0.00026434, -0.00029888,  0.00078798, -0.00059893, -0.00045869,
       -0.00012258, -0.00038251])
 message: 'Optimization terminated successfully'
    nfev: 205
     nit: 25
    njev: 25
  status: 0
 success: True
       x: array([ 2.33246663, -0.52651267,  1.13156656, -0.60012661,  0.02257897,
       -0.21223348,  1.07981903])",0.22729895601354966,0.26933628213626004,0xmq6,37_92_
5,"     fun: 0.2319848097850284
     jac: array([ 9.99029726e-05,  3.13371420e-04,  4.98672947e-04, -1.24003738e-04,
       -4.27894294e-04, -1.74809247e-05, -1.56134367e-04])
 message: 'Optimization terminated successfully'
    nfev: 228
     nit: 28
    njev: 28
  status: 0
 success: True
       x: array([ 2.58849676, -0.5797581 ,  1.30164383, -0.79393268, -0.06372123,
       -0.41101026,  1.49015092])",0.2319848097850284,0.1851842744828117,0xmq6,101_92_
6,"     fun: 0.23239096588245547
     jac: array([ 2.44971365e-04,  2.67595053e-04, -5.26925549e-04,  1.72857195e-04,
       -1.26073137e-04,  8.00453126e-05, -2.07696110e-04])
 message: 'Optimization terminated successfully'
    nfev: 414
     nit: 51
    njev: 51
  status: 0
 success: True
       x: array([ 2.29868021, -0.49369782,  0.97414567, -0.5135984 ,  0.1443119 ,
       -0.1436936 ,  0.80978963])",0.23239096588245547,0.19029686773506102,0xmq6,37_57_
7,"     fun: 0.20480351953231712
     jac: array([-7.63684511e-08, -1.30522251e-03,  1.43087916e-02,  2.65060179e-03,
        5.91535307e-03, -5.77225909e-03, -2.68701768e-01])
 message: 'Optimization terminated successfully'
    nfev: 1825
     nit: 221
    njev: 221
  status: 0
 success: True
       x: array([ 1.00000000e+04,  2.67797457e-01,  4.94413703e-01,  8.70214027e-02,
        1.99191045e-01, -2.31644574e-01,  1.79370464e-02])",0.20480351953231712,0.6080860038872943,0xmq6,5_41_
8,"     fun: 0.2318693636002958
     jac: array([ 2.76323408e-05,  4.85833734e-04, -6.99328259e-04,  5.50039113e-05,
        2.30172649e-04,  6.70136884e-04,  3.13119218e-03])
 message: 'Optimization terminated successfully'
    nfev: 799
     nit: 97
    njev: 97
  status: 0
 success: True
       x: array([ 6.2120321 ,  0.16794699,  0.72073749, -0.07645389, -0.18657618,
       -0.63351906,  0.17202627])",0.2318693636002958,0.1455878429959655,0xmq6,37_64_
9,"     fun: 0.22636314591485823
     jac: array([-4.20287251e-05, -3.86241823e-04,  6.58286735e-04, -3.12235206e-05,
       -3.94470990e-05, -5.20905480e-04, -2.17626989e-03])
 message: 'Optimization terminated successfully'
    nfev: 806
     nit: 98
    njev: 98
  status: 0
 success: True
       x: array([ 5.3001754 ,  0.17858622,  0.7363972 , -0.09682492, -0.17035439,
       -0.58670475,  0.17284544])",0.22636314591485823,0.2560618212170479,0xmq6,92_64_
10,"     fun: 0.22490537277400935
     jac: array([ 1.34229660e-04,  3.22034582e-04, -7.49608502e-04,  1.83081254e-04,
       -1.30701810e-05, -6.12810254e-07, -1.71935186e-04])
 message: 'Optimization terminated successfully'
    nfev: 408
     nit: 50
    njev: 50
  status: 0
 success: True
       x: array([ 2.6353618 , -1.        ,  1.05459288, -0.59251016,  0.10903795,
       -0.28297435,  1.5022914 ])",0.22490537277400935,0.31397105638491923,0xmq6,37_101_
